Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Dispute_Status_for_Publication,Name_of_Associated_Covered_Device_or_Medical_Supply1,Name_of_Associated_Covered_Drug_or_Biological1,Physician_Specialty,status
Cook Incorporated,No,PI - Not Applicable,,Hospitals|General Acute Care Hospital|Critical Access,disallowed
PSS World Medical Inc.,No,,,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
Merck Sharp & Dohme Corporation,No,,ZOLINZA,Allopathic & Osteopathic Physicians|Internal Medicine,allowed
Dentaurum Incorporated,No,,,Dental Providers|Dentist|Orthodontics and Dentofacial Orthopedics,disallowed
CSL Behring,No,,Kcentra,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Critical Care Medicine,disallowed
"Medimetriks Pharmaceuticals, Inc.",No,,Sumadan Kit,Allopathic & Osteopathic Physicians|Dermatology,disallowed
"Electromed, Inc.",No,HFCWO,HFCWO,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
KADMON PHARMACEUTICALS LLC,No,,Ribapak-Ribasphere Tablets,Ambulatory Health Care Facilities|Clinic/Center|Community Health,disallowed
Hutchinson Technology Inc.,No,InSpectra Model 300 Spot Check,,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Vertical Pharmaceuticals, LLC",No,,OB Complete Petite,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Reproductive Endocrinology,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,Edarbyclor,Ambulatory Health Care Facilities|Clinic/Center|Prison Health,disallowed
Cardiovascular Systems Inc.,No,Atherectomy Device,,Allopathic & Osteopathic Physicians|Radiology|Nuclear Radiology,disallowed
Purdue Pharma L.P.,No,,,Allopathic & Osteopathic Physicians|Family Medicine|Geriatric Medicine,disallowed
KLS Martin L.P.,No,Distraction and Tissue Molding,,Dental Providers|Dentist|Orthodontics and Dentofacial Orthopedics,disallowed
"Medtronic USA, Inc.",No,Spinal Cord Neurostimulation - Neuro,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Sports Medicine,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,Nesina,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
Covidien Sales LLC,No,Endo Stapling,,Other Service Providers|Specialist,disallowed
"Onset Dermatolology, Inc",Yes,,,Allopathic & Osteopathic Physicians|Dermatology,disallowed
Ethicon Inc.,No,Energy# Harmonic,,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
Biogen Idec Inc.,No,,TYSABRI,Dental Providers|Dentist|General Practice,disallowed
DePuy Orthopaedics Inc.,No,Spine,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Pediatric Orthopaedic Surgery,disallowed
"Medtronic USA, Inc.",No,Drug Infusion Systems - Neuro,,Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine,allowed
Boston Scientific Corporation,No,CLINICAL TRIAL PRODUCT,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot Surgery,disallowed
"Biomet Orthopedics, LLC",No,Foot and Ankle,,Podiatric Medicine & Surgery Service Providers|Podiatrist,disallowed
"Meda Pharmaceuticals, Inc.",No,,Dymista,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
Cook Incorporated,No,PI - Filters,,Allopathic & Osteopathic Physicians|Radiology|Body Imaging,disallowed
DePuy Synthes Sales Inc.,No,Spine,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Adult Reconstructive Orthopaedic Surgery,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Pfizer Inc.,No,,SUTENT,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,disallowed
Hollister Incorporated,No,Advance Plus,,Allopathic & Osteopathic Physicians|Urology,disallowed
"PDP Holdings, LLC",No,,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
DETNSPLY DeTrey GmbH,No,Consumable Dentistry,,,allowed
"Auxilium Pharmaceuticals, Inc.",No,,TESTIM,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,disallowed
"Aegis Spine, Inc.",No,,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,allowed
Ethicon Endo-Surgery Inc.,No,Energy Enseal,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
CSL Behring,No,,Kcentra,Other Service Providers|Specialist,disallowed
"Medtronic Xomed, Inc.",No,Advanced Energy Cutting Device,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"PIVOT MEDICAL, INC.",No,JOINT PRESERVATION,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
"Otsuka America Pharmaceutical, Inc.",No,BREATHTEK,,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"Janssen Research & Development, LLC",No,,No Product,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
Novo Nordisk Inc,No,,Levemir,Allopathic & Osteopathic Physicians|Preventive Medicine|Public Health & General Preventive Medicine,disallowed
"EBI Medical Systems, LLC",No,BSBHT - BGS BHS STIMULATORS,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neuromuscular Medicine,disallowed
Boston Scientific Corporation,No,INTRAVASCULAR ULTRASOUND,,Allopathic & Osteopathic Physicians|Allergy & Immunology,disallowed
"GlaxoSmithKline, LLC.",No,,VIANI,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,allowed
Lundbeck LLC,No,,XENAZINE,Allopathic & Osteopathic Physicians|Family Medicine|Geriatric Medicine,disallowed
"Janssen Pharmaceuticals, Inc",No,,Invega,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"AbbVie, Inc.",No,,Synthroid,Allopathic & Osteopathic Physicians|Family Medicine|Geriatric Medicine,disallowed
Covidien Sales LLC,No,Vessel Sealing,,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"Teva Pharmaceuticals USA, Inc.",No,,AZILECT,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Merck Sharp & Dohme Corporation,No,,GARDASIL,Allopathic & Osteopathic Physicians|Independent Medical Examiner,disallowed
HOLOGIC INC,No,SureSwab,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,disallowed
SANOFI-AVENTIS U.S. LLC,No,,APIDRA,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,ABILIFY,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Mid-Atlantic Surgical Systems, LLC",No,ARTHREX PRODUCT LINE DISTAL EXTREMITY ARTHROSCOPY,,Other Service Providers|Specialist,disallowed
"Ivoclar Vivadent, Inc.",No,"Multilink Primer Refill A 3 g, Multilink Primer Refill B 3 g",,Dental Providers|Dentist|General Practice,disallowed
"Vascular Solutions, Inc.",No,Pronto,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Shire US Holdings,No,,VYVANSE,Behavioral Health & Social Service Providers|Clinical Neuropsychologist,disallowed
"Janssen Biotech, Inc.",No,,Procrit,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Hospira Worldwide, Inc.",No,TheraDoc,,Other Service Providers|Specialist,disallowed
Merck Sharp & Dohme Corporation,No,,MK-7622,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
"Medline Industries, Inc.",No,Dermatology and Wound Care,,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
"MAQUET Cardiovascular U.S. Sales, L.L.C.",No,Cardiac Assist,,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
Cook Incorporated,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
SANOFI-AVENTIS U.S. LLC,No,,LANTUS,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
"AbbVie, Inc.",No,,Elagolix,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"AKRIMAX PHARMACEUTICALS, LLC",No,,INNOPRAN XL,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,disallowed
"Janssen Pharmaceuticals, Inc",No,,Invokana,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Allergy/Immunology,disallowed
