seqid,date_of_stop,time_of_stop,agency,subagency,description,location,latitude,longitude,accident,belts,personal_injury,property_damage,fatal,commercial_license,hazmat,commercial_vehicle,alcohol,work_zone,search_conducted,search_disposition,search_outcome,search_reason,search_reason_for_stop,search_type,search_arrest_reason,state,vehicletype,year,make,model,color,charge,article,contributed_to_accident,race,gender,driver_city,driver_state,dl_state,arrest_type,geolocation,violation_type
7a8c9e74-6541-447a-8fcd-4cfb419fad72,11/22/2016,01:17:00,MCP,"2nd District, Bethesda",EXCEEDING MAXIMUM SPEED: 34 MPH IN A POSTED 25 MPH ZONE,OLD GEORGETOWN RD @ AUBURN AV,38.987465,-77.0989183333333,No,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2009.0,MNNI,COOPER S,BLACK,21-801.1,Transportation Article,False,WHITE,M,BETHESDA,MD,MD,Q - Marked Laser,"(38.987465, -77.0989183333333)",Citation
147c41d4-697d-4619-8ca0-9902e65fbceb,07/11/2018,13:25:00,MCP,"3rd District, Silver Spring",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 44 MPH IN A POSTED 35 MPH ZONE,BRIGGS CHANEY / ALPENHORN   EB,39.0673016666667,-76.9373283333333,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,MD,03 - Station Wagon,2015.0,SUBA,SW,BLUE,21-801.1,Transportation Article,False,WHITE,M,BELTSVILLE,MD,MD,E - Marked Stationary Radar,"(39.0673016666667, -76.9373283333333)",Citation
83cb28b2-1303-49f6-b886-bc24ce079d33,10/25/2017,22:15:00,MCP,"5th District, Germantown",DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN,RICHTER FARM @ SCHAFFER,39.154923333333294,-77.297585,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-202(m),,,MD,02 - Automobile,2013.0,LEXUS,RX350,SILVER,21-202(m),Transportation Article,False,ASIAN,M,BOYDS,MD,MD,A - Marked Patrol,"(39.1549233333333, -77.297585)",Citation
10753088-834b-4f9e-b94e-2410c9860391,12/13/2012,12:23:00,MCP,Headquarters and Special Operations,PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,CONNECTICUT AVE @ ASPEN HILL,39.079151,-77.080424,No,No,No,No,No,No,No,No,No,No,,,,,,,,XX,29 - Unknown,,,,,21-503(c),Transportation Article,False,OTHER,M,SILVER SPRING,MD,MD,O - Foot Patrol,"(39.079151, -77.080424)",Citation
1b4861bc-0787-470b-9907-f06a8a62a858,08/21/2015,01:30:00,MCP,"3rd District, Silver Spring",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,SB NEW HAMPSHIRE AVE / SCHINDLER DR,39.0331833333333,-76.9859966666667,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-201(a1),,,MD,02 - Automobile,2010.0,CHEVROLET,4S,WHITE,16-112(c),Transportation Article,False,BLACK,M,LANHAM,MD,MD,A - Marked Patrol,"(39.0331833333333, -76.9859966666667)",Citation
d9996645-8a32-4f4d-9d3a-8a3fe8aa8a64,03/31/2012,16:52:00,MCP,"3rd District, Silver Spring",FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,14910 OLD COLUMBIA PIKE,39.08739035,-76.8820066666667,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2003.0,CADILLAC,4 DOOR,"BLUE, DARK",21-301(a),Transportation Article,False,BLACK,M,BURTONSVILLE,MD,MD,A - Marked Patrol,"(39.08739035, -76.8820066666667)",Citation
ebe1059d-52fa-44cb-a078-9230511b4431,11/08/2016,10:28:00,MCP,"1st District, Rockville",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,SB SHADY GROVE RD AT SILVER BELL TER,39.087465,-77.211885,No,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,1999.0,TOYOTA,CAMRY,"BLUE, DARK",21-801.1,Transportation Article,False,WHITE,F,ROCKVILLE,MD,MD,Q - Marked Laser,"(39.087465, -77.211885)",Citation
087ea2ae-377c-4f45-94a6-573f96191913,08/13/2013,13:50:00,MCP,"1st District, Rockville",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,S/B 355 AT MONROE PLACE,39.0838866666667,-77.1473383333333,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-310(a),,,MD,02 - Automobile,2001.0,HOND,2S,SILVER,16-112(c),Transportation Article,False,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0838866666667, -77.1473383333333)",Citation
e3d98ab9-b50d-46a2-a663-94f8152c0804,10/18/2016,14:03:00,MCP,"2nd District, Bethesda",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,UNIVERSITY BLVD WEST / CONNECTICUT AVE,39.032485,-77.0747833333333,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-201(a1),,,MD,02 - Automobile,2009.0,HONDA,CR-V,"BLUE, LIGHT",16-101(a),Transportation Article,False,ASIAN,M,JOPPA,MD,XX,A - Marked Patrol,"(39.032485, -77.0747833333333)",Citation
e91007cb-9d29-45c5-bb98-2e573681d4b8,10/03/2013,13:34:00,MCP,Headquarters and Special Operations,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,RT. 124 @ CLOPPER RD,39.13896,-77.2222816666667,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-1124.2(d2),,,MD,02 - Automobile,2000.0,TOYT,CAMRY,GREEN,21-1124.2(d2),Transportation Article,False,ASIAN,M,POTOMAC,MD,MD,A - Marked Patrol,"(39.13896, -77.2222816666667)",Citation
fa65c566-e3ad-414e-94ab-02bc3de00737,05/22/2018,10:22:00,MCP,"2nd District, Bethesda",FAILURE OF VEH. DRIVER INVOLVED IN ACCIDENT TO GIVE INSURANCE POLICY INFORMATION,WISCONSIN AVE/ MONTGOMERY AVE,0.0,0.0,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2015.0,TOYT,AVALON,GOLD,20-105.1,Transportation Article,False,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(0.0, 0.0)",Citation
7a17f2ae-8af9-4ef6-9c92-94ee8ad78e9e,06/03/2017,00:26:00,MCP,"6th District, Gaithersburg / Montgomery Village",UNSAFE BACKING OF MOTOR VEH.,18727 PIER POINT PL,39.144785,-77.1909566666667,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2014.0,CHEV,4S,WHITE,21-1102(a),Transportation Article,True,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.144785, -77.1909566666667)",Citation
9fc48970-39e8-470f-b046-3392da723dd2,08/02/2018,13:39:00,MCP,"3rd District, Silver Spring",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE,SANDY SPRING RD / DINO DR,39.103353333333295,-77.025195,No,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2016.0,ACUR,LX,WHITE,21-801.1,Transportation Article,False,BLACK,F,SILVER SPRING,MD,MD,Q - Marked Laser,"(39.1033533333333, -77.025195)",Citation
68b208f8-7fe7-4b07-81ea-3469a2f9d4cd,11/03/2014,11:02:00,MCP,"4th District, Wheaton",PASSENGER AGE 16 OR MORE IN REAR SEAT OF MOTOR VEH WITHOUT SEATBELT RESTRAINT,WB VEIRS MILL RD AT PARKLAND DRIVE,39.0623283333333,-77.0929866666667,No,No,No,No,No,No,No,No,No,No,No,,Warning,,21-201(a1),,,MD,02 - Automobile,2014.0,TOYOTA,CAMRY,WHITE,22-412.3(c3),Transportation Article,False,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0623283333333, -77.0929866666667)",Citation
459edac8-ec94-4325-b477-71340fe09006,01/18/2015,08:52:00,MCP,"4th District, Wheaton",POSSESSING SUSPENDED LIC.,CONNECTICUT AVE/ EAST WEST HIGHWAY,38.9901366666667,-77.077315,No,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2007.0,LEXUS,ES350,GRAY,16-301(j),Transportation Article,False,BLACK,F,LAUREL,MD,MD,A - Marked Patrol,"(38.9901366666667, -77.077315)",Citation
b34260e5-61a1-4202-862f-af84c25a78e7,08/06/2015,15:01:00,MCP,"1st District, Rockville",DRIVER CHANGING LANES WHEN UNSAFE,FLEET ST @ MONROE ST,39.080805,-77.1505933333333,Yes,Yes,Yes,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2015.0,KIA,TK,GRAY,21-309(b),Transportation Article,True,WHITE,F,ROCKVILLE,MD,MD,L - Motorcycle,"(39.080805, -77.1505933333333)",Citation
73d23fb7-1998-4d4c-953f-a0dcb5ad9c92,10/13/2016,21:39:00,MCP,Headquarters and Special Operations,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,S/B FREDERICK RD @ INDIANOLA DR,39.1118033333333,-77.1615266666667,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-1124.2(d2),,,MD,02 - Automobile,1996.0,INFINITI,G20,GOLD,21-1124.2(d2),Transportation Article,False,WHITE,M,LAUREL,MD,MD,A - Marked Patrol,"(39.1118033333333, -77.1615266666667)",Citation
bf2c8899-ebbe-4d7c-9951-72504ad30b7f,05/26/2014,12:55:00,MCP,"2nd District, Bethesda",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,3503 EAST-WEST HWY,38.9897283333333,-77.06985999999999,No,No,No,No,No,No,No,No,No,No,No,,Citation,,13-411(f),,,MD,02 - Automobile,2011.0,TOYOTA,PRIUS,"BLUE, DARK",13-411(f),Transportation Article,False,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9897283333333, -77.06986)",Citation
a9aecffe-3194-4465-8396-218d11d3675e,09/01/2016,23:13:00,MCP,"6th District, Gaithersburg / Montgomery Village",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,MD-355/S. WESTLAND STREET,39.12456,-77.1808,No,No,No,No,No,No,No,No,No,No,No,,Citation,,16-303(c),,,MD,02 - Automobile,2000.0,HONDA,CIVIC,RED,16-116(a),Transportation Article,False,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.12456, -77.1808)",Citation
4551f420-43f6-4b87-99ce-4ef411e3ccc1,07/16/2013,13:40:00,MCP,"1st District, Rockville","DRIVING, ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",14800BLK SOUTHLAWN LN,39.0982366666667,-77.1354883333333,No,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2011.0,TOYOTA,SIENNA,"BLUE, DARK",16-101(a),Transportation Article,False,BLACK,M,ROCKVILLE,MD,MD,Q - Marked Laser,"(39.0982366666667, -77.1354883333333)",Citation
a0175d0b-f7ee-4e6f-8dc8-b032c3a71efe,10/31/2017,22:06:00,MCP,"6th District, Gaithersburg / Montgomery Village",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,QUINCE ORCHARD / BANK ST,39.137985,-77.22245833333331,No,No,No,No,No,No,No,No,No,No,No,,Citation,,16-303(c),,,MD,02 - Automobile,2001.0,FORD,EXPIDITION,WHITE,13-401(h),Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.137985, -77.2224583333333)",Citation
adf69b76-fd70-4306-bee4-e357e771fcfd,03/23/2012,10:26:00,MCP,"2nd District, Bethesda",EXCEEDING MAXIMUM SPEED: 50 MPH IN A POSTED 30 MPH ZONE,10901 WESTLAKE DRIVE,39.0347205166667,-77.1467421,No,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2009.0,HOND,VN,SILVER,21-801.1,Transportation Article,False,WHITE,F,BETHESDA,MD,MD,Q - Marked Laser,"(39.0347205166667, -77.1467421)",Citation
6f8eb6d6-84ef-4aec-83f5-2b70bf3aeb11,07/27/2012,08:13:00,MCP,"4th District, Wheaton",EXCEEDING MAXIMUM SPEED: 58 MPH IN A POSTED 40 MPH ZONE,KIMBLEWICK / RANDOLPH RD,39.07089175,-77.0126652,No,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2009.0,TOYOTA,4DR,GRAY,21-801.1,Transportation Article,False,WHITE,M,SILVER SPRING,MD,MD,O - Foot Patrol,"(39.07089175, -77.0126652)",Citation
ba8912ce-cdca-4276-afd5-760ab4ac01cc,09/11/2013,14:25:00,MCP,"6th District, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 63 MPH IN A POSTED 40 MPH ZONE,MD 355 SB/ PROFESSIONAL DR,0.0,0.0,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,MD,05 - Light Duty Truck,2007.0,CHEV,TRAILBLAZER,SILVER,21-801.1,Transportation Article,False,BLACK,M,HUNTINGTON,WV,WV,Q - Marked Laser,"(0.0, 0.0)",Citation
a4fba95b-05e9-420c-b3b3-54ef09ae7436,04/02/2019,22:23:00,MCP,"4th District, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,11816 IDLEWOOD RD,39.056096666666704,-77.0474566666667,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-902(a1i),,,MD,02 - Automobile,2006.0,GMC,TRUCK,WHITE,21-201(a1),Transportation Article,False,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0560966666667, -77.0474566666667)",Citation
7300cf93-12b5-4905-9f6c-c8101d2e1847,12/22/2014,10:51:00,MCP,"3rd District, Silver Spring",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,I-495 W GEORGIA AVE EXIT / GEORGIA AVE,39.015240000000006,-77.041895,No,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2014.0,TOYOTA,COROLLA,"BLUE, DARK",16-112(c),Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.01524, -77.041895)",Citation
a786fffb-23a7-40a4-9211-0292d1c65bef,08/31/2019,04:02:00,MCP,Headquarters and Special Operations,DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL PER SE,WAYNE AVE @  DALE,39.0454733333333,-76.991105,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,MD,02 - Automobile,2016.0,HONDA,4D,BLACK,21-902(a1ii),Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0454733333333, -76.991105)",Citation
f8b61949-071f-4053-b807-8ba07f017a05,08/08/2016,13:22:00,MCP,"4th District, Wheaton",FAILURE VEH. TO YIELD INTERSECTION RIGHT-OF-WAY TO ANOTHER VEH.,RANDOLPH RD / GOODHILL RD,39.0586016666667,-77.0711733333333,Yes,No,Yes,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2012.0,CHEVY,MALIBU,BLACK,21-401,Transportation Article,True,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0586016666667, -77.0711733333333)",Citation
635ec1b0-e1b0-41b5-ac5c-65b1d99901af,01/16/2014,12:50:00,MCP,"6th District, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 87 MPH IN A POSTED 55 MPH ZONE,W/B IS 370 @ IS 270,39.12053833333329,-77.2016566666667,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-801.1,,,VA,05 - Light Duty Truck,2000.0,FORD,RANGER,WHITE,21-801.1,Transportation Article,False,HISPANIC,M,ANNADALE,VA,XX,A - Marked Patrol,"(39.1205383333333, -77.2016566666667)",Citation
df4c02e9-9695-4815-b94d-54f3dcee8301,07/31/2012,15:03:00,MCP,"4th District, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,NEW HAMPSHIRE AVE/BONIFANT RD,39.093892933333294,-77.0014554333333,No,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2006.0,VW,TOUAREG,"GREEN, LGT",13-401(h),Transportation Article,False,BLACK,F,LAYTONSVILLE,MD,MD,A - Marked Patrol,"(39.0938929333333, -77.0014554333333)",Citation
9040a161-4f0d-4ff0-aa16-ebf9c68391ed,10/02/2018,11:25:00,MCP,"4th District, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,RANDOLPH RD AT GLENMONT CIR,0.0,0.0,Yes,No,Yes,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2016.0,MERCEDES,E350,SILVER,21-201(a1),Transportation Article,True,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(0.0, 0.0)",Citation
78b223e3-bd59-45e2-bc48-1ad59d6be025,03/15/2019,08:49:00,MCP,"4th District, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,NORBECK RD @ TWIN VALLEY CT,39.11547,-77.0520683333333,No,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2008.0,LEXUS,ES350,BLACK,16-303(d),Transportation Article,False,BLACK,M,ROCKVILLE,MD,MD,S - License Plate Recognition,"(39.11547, -77.0520683333333)",Citation
c8c3967b-4082-43a7-8c1f-17a2c2b42968,12/08/2017,12:19:00,MCP,"2nd District, Bethesda",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,OLD GEORGETOWN RD AT BEECH AVE,39.008435,-77.1135,No,No,No,No,No,No,No,No,No,No,No,,Citation,,13-411(d),,,MD,02 - Automobile,2010.0,LEXUS,RX350,BLACK,13-411(d),Transportation Article,False,HISPANIC,F,BETHESDA,MD,MD,A - Marked Patrol,"(39.008435, -77.1135)",Citation
ea517ae1-3799-4575-a375-44b2da4ef92b,07/24/2013,00:50:00,MCP,"3rd District, Silver Spring",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,WAYNE AVE / DALE DR,38.9989116666667,-77.0195566666667,No,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2006.0,HONDA,CIVIC,BLUE,16-101(a),Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(38.9989116666667, -77.0195566666667)",Citation
a6849b80-9f61-4282-a1b1-635c1c846f0b,04/12/2013,22:09:00,MCP,"4th District, Wheaton","PERSON DRIVING, MOVING ON HWY. VEH., EQUIPMENT WITH VISIBLE  BLUE LAMP",VEIRS MILL/  DALEWOOD,39.0506666666667,-77.0733816666667,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,MD,02 - Automobile,2001.0,MITS,ESCLIPSE CN,RED,22-227(b),Transportation Article,False,HISPANIC,M,KENSINGTON,MD,MD,A - Marked Patrol,"(39.0506666666667, -77.0733816666667)",Citation
97b381f6-8230-4d46-ac30-ec8421c1ec88,02/01/2017,09:37:00,MCP,"6th District, Gaithersburg / Montgomery Village",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 30 MPH ZONE,355 N/B & BROOKES AVE,39.1465966666667,-77.2043116666667,No,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2004.0,HONDA,CIVIC,GRAY,21-801.1,Transportation Article,False,HISPANIC,M,GAITHERSBURG,MD,MD,Q - Marked Laser,"(39.1465966666667, -77.2043116666667)",Citation
67467c30-2e67-443c-a94a-2017ce7a3c16,07/27/2014,01:49:00,MCP,"3rd District, Silver Spring",HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION,NEW HAMPSHIRE AVE @ QUAINT ACRES DR,39.047773333333296,-76.99297,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-301(a),,,MD,02 - Automobile,2000.0,NISSAN,MAXIMA,SILVER,16-105(b1),Transportation Article,False,BLACK,M,TAKOMA PARK,MD,MD,A - Marked Patrol,"(39.0477733333333, -76.99297)",Citation
725c428f-f9a3-4516-8901-3e7426ee6908,02/26/2016,15:13:00,MCP,"3rd District, Silver Spring",EXCEEDING MAXIMUM SPEED: 40 MPH IN A POSTED 30 MPH ZONE,SLIGO AVE / GROVE ST,38.991795,-77.01438,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-801.1,,,MD,02 - Automobile,2004.0,FORD,MUSTANG,BLACK,21-801.1,Transportation Article,False,OTHER,M,BURTONSVILLE,MD,MD,A - Marked Patrol,"(38.991795, -77.01438)",Citation
37a579dc-569d-4ff2-861f-7088d7a19d0e,05/26/2015,10:31:00,MCP,"4th District, Wheaton",OPERATOR NOT RESTRAINED BY SEATBELT,CONNECTICUT AVE / RT 97,39.076331666666704,-77.06944666666669,No,No,No,No,No,No,No,No,No,No,No,,Citation,,22-412.3(b),,,MD,02 - Automobile,2004.0,CHEV,TK,WHITE,22-412.3(b),Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,L - Motorcycle,"(39.0763316666667, -77.0694466666667)",Citation
7e9899e5-6f93-48fc-8144-62b9bc2b02a5,09/19/2014,02:33:00,MCP,"2nd District, Bethesda",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,CONNECTICUT AVE AT CEDAR LANE,0.0,0.0,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-801(a),,,MD,02 - Automobile,1995.0,HONDA,VAN,RED,21-902(a1),Transportation Article,False,WHITE,M,POTOMAC,MD,MD,A - Marked Patrol,"(0.0, 0.0)",Citation
