gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired,current_annual_salary
F,FIN,Department of Finance,General Accounting,Fulltime-Regular,Accountant/Auditor II,02/09/2015,2015,80103.88
F,DOT,Department of Transportation,Transportation Engineering Administration,Fulltime-Regular,Executive Administrative Aide,04/03/2006,2006,70151.86
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,07/16/2007,2007,70435.0
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,09/22/2003,2003,45775.85
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016,45261.0
F,LIB,Department of Public Libraries,Quince Orchard Library,Fulltime-Regular,Library Associate,11/27/2011,2011,47940.15
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Transit Operations Supervisor,10/17/2005,2005,69368.62
F,HHS,Department of Health and Human Services,Area Agency on Aging Administration,Fulltime-Regular,Program Manager I,01/27/2014,2014,60403.27
M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer II,01/14/2013,2013,52693.0
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008,63493.0
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,07/10/1982,1982,83497.98
M,COR,Correction and Rehabilitation,DO Director,Fulltime-Regular,Director Department of Correction and Rehabilitation,12/04/2000,2000,206000.0
F,HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Community Health Nurse II,09/08/2014,2014,74617.86
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,09/13/1999,1999,93386.32
F,LIB,Department of Public Libraries,Twinbrook Library,Fulltime-Regular,Librarian II,10/06/1985,1985,100849.36
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician II,02/28/1994,1994,57476.06
F,SHF,Sheriff's Office,Attachments,Fulltime-Regular,Deputy Sheriff Sergeant,09/05/1995,1995,96763.35
F,CUS,Community Use of Public Facilities,Finance and Administrative Support Team,Fulltime-Regular,Senior Information Technology Specialist,08/30/1999,1999,115324.45
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Transit Services Supervisor,05/21/1984,1984,78889.86
M,DLC,Department of Liquor Control,Special Order Liquor and Wine Warehouse Operations,Fulltime-Regular,Senior Supply Technician,10/06/2003,2003,58856.27
F,LIB,Department of Public Libraries,Rockville Library,Parttime-Regular,Library Associate II,03/17/1997,1997,37518.05
M,FRS,Fire and Rescue Services,Station 34,Fulltime-Regular,Master Firefighter/Rescuer,03/30/1986,1986,95187.98
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,02/24/2014,2014,61725.0
M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Unit Commander (Captain),02/25/1990,1990,114079.71
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer II,08/12/2013,2013,58455.0
M,DLC,Department of Liquor Control,Milestone,Fulltime-Regular,Liquor Store Clerk II,09/22/2014,2014,40946.26
M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer III,05/16/2005,2005,79824.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,02/24/2014,2014,42053.83
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,05/16/2005,2005,65680.86
F,FRS,Fire and Rescue Services,Third Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,06/07/2004,2004,88168.0
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker IV,03/11/2002,2002,98490.39
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,09/08/2014,2014,16610.68
F,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Master Police Officer,08/19/1996,1996,97392.47
M,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,02/20/2007,2007,19728.85
M,POL,Department of Police,Field Services Bureau,Fulltime-Regular,Police Officer III,02/06/1995,1995,92756.7
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,02/24/2014,2014,53788.0
M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,07/17/2006,2006,72902.0
F,DEP,Department of Environmental Protection,Environmental Planning and Policy Implementation,Fulltime-Regular,Forest Conservation Coordinator,01/14/2002,2002,102664.0
M,PIO,Office of Public Information,Web Content and Graphic Management,Fulltime-Regular,Information Technology Specialist III,04/21/2003,2003,88712.56
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer II,07/16/2012,2012,60501.0
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016,45261.0
F,HHS,Department of Health and Human Services,Behavioral Health Community Support Services,Fulltime-Regular,Community Services Aide III,05/01/2006,2006,73801.0
F,HHS,Department of Health and Human Services,"Chief, Children Youth and Families",Fulltime-Regular,Program Manager II,04/09/2001,2001,101657.58
M,DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Senior Permitting Services Specialist,03/11/2002,2002,107657.0
M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer III,01/14/2013,2013,55328.0
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer II,05/21/2012,2012,58455.0
M,COR,Correction and Rehabilitation,PTS Supervision,Fulltime-Regular,Correctional Specialist III,01/20/1998,1998,95001.52
M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008,65530.0
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,07/18/2005,2005,75453.0
M,FRS,Fire and Rescue Services,Station 5,Fulltime-Regular,Firefighter/Rescuer III,02/22/1994,1994,83611.44
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,05/06/2002,2002,61231.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,10/29/2007,2007,46626.87
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Public Service Craftsworker,11/28/2005,2005,64141.0
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer I,06/02/2014,2014,53788.0
F,REC,Department of Recreation,Youth Development Youth Services,Fulltime-Regular,Recreation Specialist,11/28/2016,2016,56850.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader II,10/31/1988,1988,75277.02
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,11/09/2015,2015,40631.32
M,DLC,Department of Liquor Control,Flower Avenue,Fulltime-Regular,Liquor Store Assistant Manager,08/27/1996,1996,69053.96
M,POL,Department of Police,HQ Office of the Chief Internal Affairs Division,Fulltime-Regular,Police Lieutenant,01/18/1994,1994,123902.96
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),07/23/2007,2007,62903.0
F,POL,Department of Police,ISB Criminal Investigations Division Crime Laboratory Section,Fulltime-Regular,Forensic Scientist,02/09/2015,2015,70820.32
F,HHS,Department of Health and Human Services,Health Planning and Epidemiology,Fulltime-Regular,Senior Planning Specialist,05/05/2014,2014,90704.11
M,DPS,Department of Permitting Services,Land Development Sediment and Stormwater Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector I,08/08/2016,2016,56300.0
M,PRO,Office of Procurement,LSBRP (Local Small Business Reserve Program),Fulltime-Regular,Procurement Specialist II,04/04/2005,2005,83594.69
M,DGS,Department of General Services,Fleet Management Administration,Fulltime-Regular,Program Manager I,11/04/2013,2013,93396.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/04/2016,2016,40631.32
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,05/10/1993,1993,96763.35
M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist II,12/01/2014,2014,48571.6
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Office Services Coordinator,11/26/2007,2007,63171.74
M,COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,Fulltime-Regular,Correctional Officer III (Corporal),05/28/1996,1996,79647.84
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,01/22/2007,2007,40534.54
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,08/06/2001,2001,74148.26
F,SHF,Sheriff's Office,Sheriff Domestic Violence,Fulltime-Regular,Client Assistance Specialist,06/29/2015,2015,50785.86
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),02/14/2000,2000,77328.0
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Capital Projects Manager,11/29/2004,2004,117935.19
M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,01/18/1994,1994,92756.7
M,DTS,Department of Technology Services,ETSD Network Services,Fulltime-Regular,Senior Information Technology Specialist,10/17/2005,2005,118400.0
M,FRS,Fire and Rescue Services,Field Relief Personnel,Fulltime-Regular,Fire/Rescue Battalion Chief,10/11/1987,1987,135945.95
F,HHS,Department of Health and Human Services,Latino Health Initiative,Fulltime-Regular,Principal Administrative Aide,01/31/1999,1999,57068.63
M,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Master Firefighter/Rescuer,02/22/1988,1988,100237.98
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,10/02/2000,2000,24134.31
F,LIB,Department of Public Libraries,Aspen Hill Library,Fulltime-Regular,Librarian II,02/14/1977,1977,100849.36
M,DGS,Department of General Services,Automation,Fulltime-Regular,Information Technology Specialist III,02/08/1999,1999,83449.3
M,DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Fiscal Assistant,06/26/2006,2006,50317.92
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008,48722.98
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,01/27/2014,2014,82802.65
F,FIN,Department of Finance,Accounts Payable,Fulltime-Regular,Fiscal Assistant,11/24/2008,2008,46972.96
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,HVAC Mechanic II,12/10/2000,2000,77343.0
M,POL,Department of Police,PSB 2nd District Station,Fulltime-Regular,Police Officer III,01/14/2002,2002,89620.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader II,11/06/1989,1989,75277.02
M,HCA,Department of Housing and Community Affairs,Grants Management,Fulltime-Regular,Senior Planning Specialist,03/26/2001,2001,102664.0
F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker III,07/29/2013,2013,73272.88
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer II,02/24/2014,2014,60501.0
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,08/27/2007,2007,46626.87
F,LIB,Department of Public Libraries,Bethesda Library,Parttime-Regular,Library Desk Assistant,10/23/2014,2014,18611.94
F,POL,Department of Police,Management Services Bureau,Fulltime-Regular,Manager III,09/08/1986,1986,135392.0
M,DOT,Department of Transportation,Traffic Engineering Studies Section,Fulltime-Regular,Engineer III,11/12/2002,2002,102664.0
F,HHS,Department of Health and Human Services,Access to Behavioral Health Services,Fulltime-Regular,Therapist II,09/02/1986,1986,100849.36
M,HCA,Department of Housing and Community Affairs,Multi-Family Housing Program,Fulltime-Regular,Senior Planning Specialist,01/26/2015,2015,85117.0
M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Firefighter/Rescuer III,02/27/2012,2012,65382.0
F,DOT,Department of Transportation,Transportation Construction Section,Fulltime-Regular,Highway Construction Field Supervisor,10/07/2013,2013,88011.34
M,FRS,Fire and Rescue Services,Third Battalion - Administration,Fulltime-Regular,Fire/Rescue Captain,09/20/1993,1993,114087.02
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer II (PFC),08/11/2014,2014,49831.0
F,CEX,Offices of the County Executive,Chief Administrative Officer's Office,Fulltime-Regular,"Special Projects Manager, Office of the CAO",01/23/1989,1989,165746.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,12/06/2010,2010,45048.5
M,POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer I,07/29/2013,2013,43525.71
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,03/27/2000,2000,76465.53
F,LIB,Department of Public Libraries,White Oak Library,Parttime-Regular,Librarian I,11/06/1995,1995,37690.56
M,DLC,Department of Liquor Control,Muddy Branch,Parttime-Regular,Liquor Store Clerk I,02/17/2008,2008,28780.63
F,HHS,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,10/11/2004,2004,95629.79
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Office Services Coordinator,01/03/1995,1995,69222.18
F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker III,06/12/2000,2000,97912.0
F,POL,Department of Police,PSB 4th District Station,Fulltime-Regular,Office Services Coordinator,09/10/2003,2003,52409.96
F,DEP,Department of Environmental Protection,Stormwater Facility Inspection and Maintenance,Fulltime-Regular,Engineer III,01/05/2009,2009,99939.88
M,REC,Department of Recreation,Youth Development Your Sports/Activities,Fulltime-Regular,Recreation Specialist,11/19/2012,2012,65209.54
F,DOT,Department of Transportation,Director Management Services,Fulltime-Regular,Office Services Coordinator,12/17/2000,2000,67206.0
F,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Office Services Coordinator,01/09/1996,1996,69222.18
F,POL,Department of Police,PSB 2nd District Educational Facilities Officers,Fulltime-Regular,Police Officer III,01/14/2002,2002,83658.0
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,04/03/2006,2006,75170.29
F,LIB,Department of Public Libraries,Damascus Library,Parttime-Regular,Library Assistant I,08/20/1996,1996,30100.72
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,01/09/1996,1996,66065.23
F,PRO,Office of Procurement,Business Relations and Compliance Division,Fulltime-Regular,Program Manager I,09/27/1998,1998,102153.0
M,HHS,Department of Health and Human Services,Contract Team,Fulltime-Regular,Program Manager I,03/09/2015,2015,89122.19
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,08/18/2014,2014,42053.83
F,SHF,Sheriff's Office,Administration,Fulltime-Regular,Program Manager I,04/18/2005,2005,90006.97
M,CEC,Community Engagement Cluster,Wheaton Urban District,Fulltime-Regular,Urban District Public Service Team Supervisor,06/01/2010,2010,45384.51
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,01/09/2006,2006,41953.24
F,POL,Department of Police,MSB Management and Budget Division,Fulltime-Regular,Manager III,08/20/2007,2007,122970.57
M,FRS,Fire and Rescue Services,Fire and Explosive Investigations,Fulltime-Regular,Fire/Rescue Captain,02/29/1988,1988,120117.06
F,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff I,09/20/2004,2004,49364.0
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,01/16/2007,2007,70435.0
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,06/13/1994,1994,92756.7
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,06/28/2004,2004,73801.0
M,FRS,Fire and Rescue Services,Station 34,Fulltime-Regular,Firefighter/Rescuer III,09/11/2000,2000,89485.0
M,OCP,Office of Consumer Protection,Investigations,Fulltime-Regular,Investigator III,10/03/1994,1994,105743.92
F,PIO,Office of Public Information,MC311,Fulltime-Regular,Program Manager II,10/11/2010,2010,94532.52
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader IV,07/06/1998,1998,74891.62
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,06/02/2003,2003,80829.0
M,POL,Department of Police,ISB Family Crimes Division Pedophile Section,Fulltime-Regular,Police Officer III,02/06/1995,1995,92756.7
F,HHS,Department of Health and Human Services,OESS-Health Care for the Uninsured,Fulltime-Regular,Income Assistance Program Specialist II,04/09/2012,2012,54402.73
F,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),04/25/1999,1999,65105.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,10/04/1999,1999,51574.16
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Sergeant,11/08/1999,1999,103506.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,09/20/2004,2004,55123.38
M,FIN,Department of Finance,Information Technology,Fulltime-Regular,Manager II,12/12/2005,2005,156516.65
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,01/27/2002,2002,55022.21
F,COR,Correction and Rehabilitation,MSD Fiscal Services,Fulltime-Regular,Office Services Coordinator,08/12/1990,1990,69222.18
M,SHF,Sheriff's Office,Civil Process,Fulltime-Regular,Deputy Sheriff II,07/16/2012,2012,58562.0
F,LIB,Department of Public Libraries,Public Service Administration,Fulltime-Regular,Program Manager II,11/14/2016,2016,81750.0
M,FRS,Fire and Rescue Services,Station 2,Fulltime-Regular,Firefighter/Rescuer III,05/21/2007,2007,65716.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/11/1998,1998,64141.0
F,COR,Correction and Rehabilitation,DS Inmate Records,Fulltime-Regular,Correctional Records Technician,11/26/2001,2001,68254.34
F,HHS,Department of Health and Human Services,Budget Team,Fulltime-Regular,Management and Budget Specialist II,03/22/2004,2004,87662.12
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016,45261.0
M,DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,03/10/1997,1997,73801.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,06/07/2012,2012,35552.43
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016,45261.0
F,FIN,Department of Finance,Treasury Operations,Fulltime-Regular,Office Services Coordinator,08/13/2012,2012,56520.51
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,11/08/1999,1999,89620.0
F,LIB,Department of Public Libraries,Potomac Library,Parttime-Regular,Library Aide,09/01/2000,2000,18247.04
M,FRS,Fire and Rescue Services,Station 24,Fulltime-Regular,Firefighter/Rescuer III,06/04/2012,2012,57265.0
M,FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Fire/Rescue Captain,02/08/1999,1999,110229.0
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,07/16/2012,2012,45048.5
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,07/28/2014,2014,36797.13
F,HHS,Department of Health and Human Services,Child Welfare Services,Parttime-Regular,Child Welfare Caseworker,11/29/1999,1999,46693.16
M,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer III,03/04/1991,1991,92756.7
M,CCL,County Council,Council Members and Staff,Fulltime-Regular,Confidential Aide,09/10/2012,2012,107615.05
M,HHS,Department of Health and Human Services,Adult Behavioral Health Services,Parttime-Regular,Medical Doctor III - Psychiatrist,09/29/1997,1997,94250.92
F,FRS,Fire and Rescue Services,HR Labor Relations,Fulltime-Regular,Administrative Specialist III,11/12/1996,1996,93396.0
F,CUS,Community Use of Public Facilities,Finance and Administrative Support Team,Fulltime-Regular,Program Specialist I,05/26/2006,2006,58178.18
F,REC,Department of Recreation,Southern Region Area III,Fulltime-Regular,Recreation Supervisor,10/17/1993,1993,95263.92
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,08/14/2006,2006,50699.16
F,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,02/22/2016,2016,39257.31
M,POL,Department of Police,ISB Criminal Investigations Division 4th District Investigative Section,Fulltime-Regular,Police Officer III,07/21/2003,2003,86588.0
M,DLC,Department of Liquor Control,Darnestown,Parttime-Regular,Liquor Store Clerk I,06/18/2013,2013,29779.09
M,DOT,Department of Transportation,Transportation Materials Testing Lab,Fulltime-Regular,Construction Representative III,01/27/2014,2014,87302.71
M,FRS,Fire and Rescue Services,Station 34,Fulltime-Regular,Firefighter/Rescuer III,02/22/1994,1994,83611.44
F,DOT,Department of Transportation,Director's Office,Fulltime-Regular,Manager II,07/14/2014,2014,136713.45
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,01/31/1982,1982,92756.7
M,FRS,Fire and Rescue Services,Property and Supply,Fulltime-Regular,Messenger-Clerk,10/08/2012,2012,41897.13
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,05/22/2000,2000,24978.81
F,FIN,Department of Finance,Payroll,Fulltime-Regular,Manager III,04/05/2004,2004,135313.72
F,DOT,Department of Transportation,Transit Special Transportation and Medicaid,Fulltime-Regular,Community Services Aide II,09/08/2015,2015,44207.44
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,05/27/2014,2014,42053.83
F,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer I,05/22/2008,2008,51969.0
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Fire/Rescue Captain,06/15/1992,1992,114087.02
M,SHF,Sheriff's Office,Civil Process,Fulltime-Regular,Deputy Sheriff III,01/18/2005,2005,71908.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,District Supervisor,05/03/1993,1993,93628.15
M,HHS,Department of Health and Human Services,Facilities and Logistical Services,Fulltime-Regular,Principal Administrative Aide,01/29/1996,1996,60201.44
M,DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,01/26/2004,2004,73801.0
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,06/30/2014,2014,42053.83
M,FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Firefighter/Rescuer III,01/14/2013,2013,55328.0
M,DLC,Department of Liquor Control,White Oak,Parttime-Regular,Liquor Store Clerk I,11/07/2012,2012,29779.06
M,POL,Department of Police,ISB Criminal Investigations Division 5th District Investigative Section,Fulltime-Regular,Police Officer III,09/12/1988,1988,92756.7
