Year_Month_DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,CRSElapsedTime,Origin,Dest,Distance,arr_delay
2008-04-30,3,1900-01-01 15:33:00,1900-01-01 15:41:00,OO,5988,N413SW,68.0,LAN,ORD,179.0,-3.0
2008-01-04,5,1900-01-01 08:50:00,1900-01-01 10:40:00,AA,2375,N5CWAA,170.0,ORD,EGE,1007.0,53.0
2008-01-08,2,1900-01-01 17:00:00,1900-01-01 18:19:00,CO,1115,N17640,79.0,EWR,DCA,199.0,-20.0
2008-04-26,6,1900-01-01 18:20:00,1900-01-01 18:50:00,WN,864,N403WN,90.0,ABQ,LAS,487.0,30.0
2008-04-08,2,1900-01-01 19:15:00,1900-01-01 21:20:00,WN,478,N710SW,125.0,SEA,SJC,697.0,-23.0
2008-04-02,3,1900-01-01 16:00:00,1900-01-01 17:00:00,WN,2284,N212WN,60.0,BOI,SLC,291.0,15.0
2008-01-14,1,1900-01-01 12:25:00,1900-01-01 13:25:00,AA,1526,N4XGAA,60.0,AUS,DFW,190.0,9.0
2008-01-11,5,1900-01-01 17:36:00,1900-01-01 19:48:00,FL,412,N987AT,132.0,TPA,IND,838.0,-3.0
2008-01-21,1,1900-01-01 11:45:00,1900-01-01 15:04:00,DL,1835,N954DL,199.0,LGA,FLL,1076.0,-21.0
2008-04-03,4,1900-01-01 10:10:00,1900-01-01 11:15:00,CO,179,N12313,65.0,IAH,SAT,191.0,-5.0
2008-03-11,2,1900-01-01 16:25:00,1900-01-01 19:10:00,US,1636,N511AU,105.0,STL,CLT,575.0,-5.0
2008-01-13,7,1900-01-01 06:30:00,1900-01-01 08:38:00,US,1942,N454UW,128.0,MIA,CLT,650.0,14.0
2008-03-16,7,1900-01-01 07:00:00,1900-01-01 10:25:00,AA,2959,N384AA,385.0,JFK,SFO,2586.0,-18.0
2008-04-09,3,1900-01-01 12:45:00,1900-01-01 13:16:00,DL,963,N934DL,91.0,ATL,MSY,425.0,-1.0
2008-01-02,3,1900-01-01 09:45:00,1900-01-01 13:10:00,AA,695,N497AA,205.0,LGA,FLL,1076.0,9.0
2008-03-14,5,1900-01-01 21:10:00,1900-01-01 22:57:00,FL,478,N946AT,107.0,ATL,BWI,576.0,127.0
2008-03-27,4,1900-01-01 22:30:00,1900-01-01 07:15:00,AS,854,N559AS,345.0,LIH,SEA,2701.0,-19.0
2008-03-29,6,1900-01-01 14:55:00,1900-01-01 17:20:00,WN,3410,N637SW,145.0,SEA,LAS,866.0,45.0
2008-01-09,3,1900-01-01 20:15:00,1900-01-01 21:25:00,WN,881,N632SW,70.0,BWI,CLE,314.0,4.0
2008-04-04,5,1900-01-01 10:50:00,1900-01-01 12:16:00,OH,5552,N796CA,86.0,GSP,CVG,317.0,-11.0
2008-02-18,1,1900-01-01 21:30:00,1900-01-01 02:00:00,AA,2020,N3DLAA,110.0,DFW,ATL,732.0,19.0
2008-01-13,7,1900-01-01 16:00:00,1900-01-01 16:50:00,EV,4689,N859AS,50.0,ATL,ABY,146.0,16.0
2008-04-20,7,1900-01-01 08:05:00,1900-01-01 10:49:00,OH,5600,N675BR,164.0,BOS,SAV,901.0,-11.0
2008-02-07,4,1900-01-01 17:20:00,1900-01-01 18:40:00,AA,1733,N4XEAA,140.0,DCA,ORD,612.0,15.0
2008-04-28,1,1900-01-01 19:08:00,1900-01-01 20:25:00,9E,3775,80329E,77.0,DTW,CVG,229.0,93.0
2008-02-14,4,1900-01-01 13:25:00,1900-01-01 19:29:00,AA,580,N4XHAA,244.0,SAN,ORD,1723.0,28.0
2008-04-19,6,1900-01-01 08:15:00,1900-01-01 10:35:00,WN,1704,N638SW,140.0,BWI,TPA,842.0,-2.0
2008-02-07,4,1900-01-01 15:25:00,1900-01-01 18:15:00,AA,2080,N537AA,110.0,COS,DFW,592.0,17.0
2008-04-30,3,1900-01-01 09:05:00,1900-01-01 10:10:00,AA,1179,N536AA,65.0,DFW,SAT,247.0,18.0
2008-02-03,7,1900-01-01 12:55:00,1900-01-01 14:03:00,CO,1560,N57857,68.0,IAH,MSY,305.0,-5.0
2008-01-19,6,1900-01-01 11:45:00,1900-01-01 14:50:00,WN,824,N339SW,125.0,MDW,PHL,668.0,-33.0
2008-03-06,4,1900-01-01 11:55:00,1900-01-01 13:55:00,MQ,3840,N819AE,120.0,DSM,DFW,624.0,26.0
2008-04-19,6,1900-01-01 16:25:00,1900-01-01 18:50:00,F9,183,N806FR,85.0,DEN,OKC,495.0,2.0
2008-04-30,3,1900-01-01 21:25:00,1900-01-01 23:50:00,UA,706,N922UA,85.0,DEN,OMA,472.0,-19.0
2008-01-30,3,1900-01-01 11:20:00,1900-01-01 12:23:00,XE,105,N13550,123.0,ELP,ONT,670.0,2.0
2008-01-15,2,1900-01-01 19:15:00,1900-01-01 21:59:00,9E,5711,80209E,104.0,MEM,JAX,576.0,-14.0
2008-01-29,2,1900-01-01 11:25:00,1900-01-01 14:25:00,WN,15,N638SW,120.0,HOU,TPA,781.0,-2.0
2008-02-19,2,1900-01-01 11:20:00,1900-01-01 13:15:00,AA,1343,N521AA,175.0,CLT,DFW,936.0,-3.0
2008-04-14,1,1900-01-01 08:45:00,1900-01-01 10:00:00,WN,348,N378SW,75.0,LAX,RNO,390.0,-5.0
2008-03-03,1,1900-01-01 08:10:00,1900-01-01 11:00:00,AA,518,N077AA,170.0,MIA,JFK,1090.0,17.0
2008-01-14,1,1900-01-01 07:35:00,1900-01-01 10:03:00,B6,117,,208.0,JFK,MSY,1182.0,
2008-04-05,6,1900-01-01 09:45:00,1900-01-01 11:44:00,EV,4833,N755EV,119.0,ATL,IAD,533.0,-31.0
2008-03-07,5,1900-01-01 17:30:00,1900-01-01 18:50:00,WN,290,N521SW,80.0,HOU,OKC,419.0,5.0
2008-04-30,3,1900-01-01 09:15:00,1900-01-01 10:08:00,NW,741,N520US,113.0,DTW,MSP,528.0,6.0
2008-02-19,2,1900-01-01 07:30:00,1900-01-01 08:55:00,MQ,3165,N810AE,85.0,SFO,SNA,372.0,8.0
2008-04-09,3,1900-01-01 09:25:00,1900-01-01 10:20:00,XE,2234,N15910,55.0,DAY,CLE,162.0,-12.0
2008-03-19,3,1900-01-01 17:46:00,1900-01-01 18:57:00,EV,4238,N641AS,71.0,AVL,ATL,164.0,183.0
2008-01-09,3,1900-01-01 11:25:00,1900-01-01 12:50:00,MQ,3662,N520DC,85.0,SGF,DFW,364.0,-11.0
2008-01-09,3,1900-01-01 10:16:00,1900-01-01 12:28:00,FL,524,N966AT,72.0,MEM,ATL,332.0,-5.0
2008-02-15,5,1900-01-01 11:06:00,1900-01-01 13:52:00,F9,784,N927FR,106.0,LAS,DEN,629.0,3.0
2008-01-28,1,1900-01-01 08:45:00,1900-01-01 10:44:00,OH,5196,N929CA,119.0,LGA,GSO,461.0,-18.0
2008-01-26,6,1900-01-01 09:05:00,1900-01-01 10:20:00,WN,2010,N293,75.0,BUR,SMF,358.0,-13.0
2008-02-07,4,1900-01-01 05:40:00,1900-01-01 06:39:00,XE,2328,N17507,59.0,DAY,CLE,162.0,-13.0
2008-04-07,1,1900-01-01 12:40:00,1900-01-01 14:10:00,MQ,4694,N721HS,90.0,JFK,RDU,426.0,0.0
2008-01-12,6,1900-01-01 08:43:00,1900-01-01 09:55:00,9E,5820,80139E,72.0,DTW,CMH,155.0,-28.0
2008-04-08,2,1900-01-01 06:00:00,1900-01-01 07:27:00,DL,1474,N630DL,87.0,TPA,ATL,406.0,1.0
2008-01-20,7,1900-01-01 14:15:00,1900-01-01 17:15:00,AA,1656,N472AA,120.0,DFW,SDF,733.0,17.0
2008-04-21,1,1900-01-01 20:30:00,1900-01-01 22:00:00,MQ,3441,N932AE,90.0,DAL,MCI,461.0,-14.0
2008-04-05,6,1900-01-01 18:25:00,1900-01-01 21:15:00,WN,1723,N261WN,170.0,ALB,MCO,1073.0,28.0
2008-01-28,1,1900-01-01 16:00:00,1900-01-01 17:20:00,XE,320,N19554,80.0,SAT,MSY,495.0,-8.0
2008-01-11,5,1900-01-01 06:40:00,1900-01-01 08:01:00,9E,3767,80409E,81.0,CAK,DTW,133.0,3.0
2008-01-08,2,1900-01-01 07:40:00,1900-01-01 08:54:00,US,1832,,74.0,DCA,BDL,313.0,
2008-03-04,2,1900-01-01 14:35:00,1900-01-01 16:49:00,XE,2915,N18120,194.0,EWR,MCI,1092.0,59.0
2008-01-07,1,1900-01-01 16:47:00,1900-01-01 18:25:00,UA,941,N581UA,158.0,ORD,DEN,888.0,145.0
2008-04-30,3,1900-01-01 14:45:00,1900-01-01 15:55:00,AA,2464,N242AA,70.0,STL,ORD,258.0,16.0
2008-03-22,6,1900-01-01 05:40:00,1900-01-01 06:30:00,OO,5577,N288SW,50.0,SMF,SFO,86.0,-10.0
2008-02-29,5,1900-01-01 14:47:00,1900-01-01 15:55:00,CO,1799,N69603,68.0,IAH,MSY,305.0,-11.0
2008-02-10,7,1900-01-01 15:30:00,1900-01-01 17:07:00,US,1683,N435US,97.0,PIT,CLT,366.0,-14.0
2008-03-06,4,1900-01-01 06:00:00,1900-01-01 06:50:00,EV,4455,N843AS,50.0,ABY,ATL,146.0,-11.0
2008-03-22,6,1900-01-01 12:30:00,1900-01-01 13:24:00,9E,5708,89139E,114.0,JAX,MEM,576.0,19.0
2008-01-31,4,1900-01-01 06:45:00,1900-01-01 07:20:00,MQ,4449,N823AE,95.0,LEX,ORD,323.0,-6.0
2008-03-15,6,1900-01-01 17:40:00,1900-01-01 19:30:00,WN,1814,N777QC,230.0,MSY,LAS,1501.0,20.0
2008-01-29,2,1900-01-01 19:00:00,1900-01-01 20:20:00,WN,2210,N464WN,80.0,ONT,SMF,389.0,5.0
2008-04-17,4,1900-01-01 20:20:00,1900-01-01 21:20:00,WN,1080,N449WN,60.0,PHX,LAS,256.0,19.0
2008-01-25,5,1900-01-01 16:13:00,1900-01-01 17:30:00,UA,411,N367UA,137.0,CLT,ORD,599.0,-7.0
2008-02-07,4,1900-01-01 06:05:00,1900-01-01 06:34:00,AQ,266,N843AL,29.0,LIH,HNL,102.0,-3.0
2008-04-18,5,1900-01-01 13:30:00,1900-01-01 15:02:00,OH,5408,N815CA,92.0,BWI,BOS,370.0,-15.0
2008-04-04,5,1900-01-01 15:00:00,1900-01-01 16:50:00,WN,609,N360SW,110.0,SJC,PHX,621.0,16.0
2008-01-21,1,1900-01-01 14:15:00,1900-01-01 19:45:00,WN,622,N259WN,210.0,LAS,MDW,1521.0,58.0
2008-02-22,5,1900-01-01 14:00:00,1900-01-01 15:43:00,XE,2441,N14522,163.0,CVG,IAH,871.0,135.0
2008-01-07,1,1900-01-01 12:05:00,1900-01-01 15:10:00,WN,462,N379SW,185.0,PHL,FLL,992.0,88.0
2008-01-15,2,1900-01-01 18:30:00,1900-01-01 19:59:00,US,2044,,89.0,DCA,BOS,399.0,
2008-03-19,3,1900-01-01 08:25:00,1900-01-01 11:40:00,B6,221,N553JB,375.0,JFK,LGB,2465.0,19.0
2008-03-20,4,1900-01-01 11:50:00,1900-01-01 12:45:00,WN,445,N634SW,55.0,DAL,TUL,237.0,-1.0
2008-01-26,6,1900-01-01 11:30:00,1900-01-01 14:05:00,WN,1011,N258WN,155.0,FLL,BWI,925.0,11.0
2008-01-08,2,1900-01-01 18:15:00,1900-01-01 21:25:00,AA,350,N526AA,130.0,ORD,LGA,733.0,83.0
2008-04-13,7,1900-01-01 16:00:00,1900-01-01 17:26:00,OH,5053,N549CA,146.0,ATL,AUS,813.0,34.0
2008-04-22,2,1900-01-01 15:40:00,1900-01-01 17:25:00,AA,2395,N477AA,165.0,CLT,DFW,936.0,-10.0
2008-03-08,6,1900-01-01 11:20:00,1900-01-01 13:36:00,YV,7152,N521LR,76.0,ORD,DTW,235.0,13.0
2008-04-27,7,1900-01-01 10:00:00,1900-01-01 11:00:00,AA,593,N526AA,120.0,DFW,DEN,641.0,-5.0
2008-01-14,1,1900-01-01 14:40:00,1900-01-01 16:50:00,WN,3671,N680AA,130.0,TPA,CMH,829.0,-2.0
2008-01-05,6,1900-01-01 18:20:00,1900-01-01 19:42:00,OH,5316,N690CA,82.0,ATL,GSO,306.0,-12.0
2008-04-22,2,1900-01-01 07:29:00,1900-01-01 08:45:00,US,1803,N432US,76.0,PHL,PIT,267.0,16.0
2008-01-21,1,1900-01-01 15:35:00,1900-01-01 17:20:00,AA,2006,N4XFAA,105.0,DFW,OMA,583.0,-15.0
2008-02-22,5,1900-01-01 09:50:00,1900-01-01 12:05:00,WN,272,N483WN,255.0,HOU,OAK,1642.0,5.0
2008-04-10,4,1900-01-01 07:00:00,1900-01-01 09:10:00,WN,2117,N791SW,130.0,PHX,SFO,651.0,-18.0
2008-02-03,7,1900-01-01 21:30:00,1900-01-01 22:55:00,WN,1598,N225WN,85.0,SMF,SAN,480.0,-12.0
2008-04-12,6,1900-01-01 07:05:00,1900-01-01 08:11:00,XE,202,N11189,66.0,BFL,SMF,265.0,-21.0
2008-01-10,4,1900-01-01 21:20:00,1900-01-01 21:42:00,US,656,N903AW,82.0,PHX,SNA,338.0,-7.0
2008-04-01,2,1900-01-01 17:35:00,1900-01-01 19:40:00,MQ,3976,N650AE,125.0,OKC,ORD,693.0,66.0
2008-04-11,5,1900-01-01 10:45:00,1900-01-01 12:50:00,MQ,4899,N707EB,125.0,LGA,CLT,544.0,35.0
2008-03-07,5,1900-01-01 09:39:00,1900-01-01 10:44:00,EV,4802,N924EV,65.0,ATL,VLD,208.0,-15.0
2008-01-11,5,1900-01-01 14:54:00,1900-01-01 16:25:00,OO,6317,N905SW,151.0,DEN,BUR,850.0,-5.0
2008-04-15,2,1900-01-01 16:40:00,1900-01-01 18:00:00,MQ,4754,N802AE,80.0,DCA,JFK,213.0,3.0
2008-03-02,7,1900-01-01 07:35:00,1900-01-01 09:23:00,YV,2632,N927LR,108.0,CLT,EWR,529.0,10.0
2008-04-17,4,1900-01-01 07:10:00,1900-01-01 08:30:00,WN,3773,N526SW,80.0,PHX,LAX,370.0,-3.0
2008-04-20,7,1900-01-01 19:55:00,1900-01-01 21:25:00,WN,3340,N238WN,90.0,STL,OKC,462.0,49.0
2008-03-04,2,1900-01-01 16:05:00,1900-01-01 17:22:00,UA,411,N374UA,137.0,CLT,ORD,599.0,-2.0
2008-02-01,5,1900-01-01 06:27:00,1900-01-01 07:30:00,UA,573,N468UA,63.0,RNO,SFO,192.0,-7.0
2008-03-08,6,1900-01-01 09:10:00,1900-01-01 09:50:00,YV,1023,N693BR,40.0,HNL,KOA,163.0,10.0
2008-03-15,6,1900-01-01 15:15:00,1900-01-01 16:30:00,OH,5255,N933CA,75.0,JFK,PHL,94.0,-21.0
2008-02-09,6,1900-01-01 13:36:00,1900-01-01 14:25:00,MQ,3048,N384AE,49.0,SAN,LAX,109.0,19.0
2008-01-18,5,1900-01-01 07:05:00,1900-01-01 09:30:00,AS,516,N617AS,145.0,SEA,BUR,937.0,-20.0
2008-03-09,7,1900-01-01 09:00:00,1900-01-01 12:20:00,WN,3,N609SW,140.0,HOU,FLL,957.0,-8.0
2008-04-13,7,1900-01-01 17:22:00,1900-01-01 19:05:00,UA,659,N902UA,223.0,CLT,DEN,1337.0,-15.0
2008-02-15,5,1900-01-01 12:03:00,1900-01-01 13:45:00,OO,6087,N755SK,102.0,ORD,MEM,491.0,-4.0
2008-04-26,6,1900-01-01 11:25:00,1900-01-01 13:10:00,WN,1149,N494WN,105.0,TPA,RDU,587.0,-3.0
2008-03-23,7,1900-01-01 13:15:00,1900-01-01 15:23:00,XE,2347,N13936,128.0,CLT,EWR,529.0,-5.0
2008-04-09,3,1900-01-01 11:55:00,1900-01-01 15:00:00,AA,1363,,245.0,BOS,DFW,1562.0,
2008-03-11,2,1900-01-01 17:20:00,1900-01-01 18:25:00,WN,1073,N254WN,65.0,LAX,LAS,236.0,-3.0
2008-02-08,5,1900-01-01 14:30:00,1900-01-01 16:02:00,US,1086,N944UW,92.0,BOS,PHL,280.0,45.0
2008-04-19,6,1900-01-01 10:15:00,1900-01-01 15:26:00,UA,410,N399UA,191.0,DEN,CLT,1337.0,-19.0
2008-02-15,5,1900-01-01 23:59:00,1900-01-01 06:41:00,FL,772,N286AT,222.0,LAS,ATL,1747.0,16.0
2008-03-25,2,1900-01-01 16:16:00,1900-01-01 17:01:00,OO,5417,N562SW,45.0,SAN,LAX,109.0,26.0
2008-03-21,5,1900-01-01 17:30:00,1900-01-01 18:20:00,WN,3150,N326SW,50.0,HOU,SAT,192.0,3.0
2008-01-12,6,1900-01-01 08:00:00,1900-01-01 10:00:00,WN,424,N618WN,60.0,MDW,DTW,229.0,7.0
2008-03-25,2,1900-01-01 19:40:00,1900-01-01 21:43:00,OH,5140,N391CA,123.0,CVG,EWR,569.0,17.0
2008-02-14,4,1900-01-01 06:20:00,1900-01-01 09:15:00,WN,3147,N401WN,115.0,LAS,DEN,629.0,-18.0
2008-02-03,7,1900-01-01 16:10:00,1900-01-01 19:12:00,UA,376,N561UA,122.0,ORD,PHL,678.0,1.0
2008-04-12,6,1900-01-01 13:34:00,1900-01-01 14:21:00,OO,5525,N579SW,47.0,SFO,SMF,86.0,-10.0
2008-03-20,4,1900-01-01 06:00:00,1900-01-01 07:26:00,UA,635,N307UA,146.0,EWR,ORD,719.0,-11.0
2008-02-02,6,1900-01-01 07:30:00,1900-01-01 10:07:00,YV,2620,N918FJ,97.0,MEM,CLT,512.0,-7.0
2008-01-09,3,1900-01-01 09:15:00,1900-01-01 10:15:00,WN,547,N515SW,60.0,STL,MDW,251.0,-1.0
2008-01-13,7,1900-01-01 07:55:00,1900-01-01 11:35:00,AA,1394,N3AKAA,160.0,DFW,FLL,1119.0,28.0
2008-04-29,2,1900-01-01 21:55:00,1900-01-01 22:59:00,OO,5735,N582SW,64.0,SEA,GEG,224.0,-11.0
2008-04-19,6,1900-01-01 11:36:00,1900-01-01 13:16:00,AS,604,N594AS,100.0,SEA,RNO,564.0,-11.0
2008-03-02,7,1900-01-01 06:15:00,1900-01-01 10:05:00,AA,780,N638AA,170.0,ORD,MIA,1197.0,-8.0
2008-01-29,2,1900-01-01 06:00:00,1900-01-01 08:55:00,B6,371,N632JB,175.0,LGA,FLL,1076.0,-14.0
2008-04-20,7,1900-01-01 11:15:00,1900-01-01 13:30:00,AA,1229,N509AA,195.0,BWI,DFW,1217.0,63.0
2008-02-14,4,1900-01-01 06:45:00,1900-01-01 09:40:00,AS,349,N969AS,175.0,LGB,SEA,965.0,14.0
2008-02-04,1,1900-01-01 10:08:00,1900-01-01 12:34:00,EV,4220,N874AS,86.0,MEM,CVG,403.0,171.0
2008-03-16,7,1900-01-01 10:35:00,1900-01-01 10:45:00,WN,237,N497WN,70.0,SDF,MDW,271.0,33.0
2008-03-23,7,1900-01-01 05:50:00,1900-01-01 06:26:00,YV,2754,N97325,156.0,AUS,PHX,872.0,-14.0
2008-01-05,6,1900-01-01 12:35:00,1900-01-01 15:09:00,YV,2638,N933LR,94.0,PNS,CLT,488.0,-14.0
2008-02-08,5,1900-01-01 16:35:00,1900-01-01 17:32:00,XE,2841,N12967,57.0,DAY,CLE,162.0,-18.0
2008-03-25,2,1900-01-01 14:00:00,1900-01-01 16:20:00,US,1120,N705UW,140.0,RSW,DCA,892.0,-1.0
2008-04-29,2,1900-01-01 20:35:00,1900-01-01 21:16:00,OO,5789,N308SW,41.0,PDX,EUG,106.0,-8.0
2008-01-04,5,1900-01-01 20:15:00,1900-01-01 21:30:00,XE,2705,N16502,75.0,CLE,IAD,288.0,88.0
2008-04-03,4,1900-01-01 08:40:00,1900-01-01 11:00:00,MQ,4043,N688AE,140.0,ORD,GPT,800.0,5.0
2008-02-27,3,1900-01-01 18:40:00,1900-01-01 22:45:00,DL,73,N3766,425.0,JFK,SFO,2586.0,-26.0
2008-03-09,7,1900-01-01 17:40:00,1900-01-01 20:11:00,EV,4211,N919EV,151.0,SWF,ATL,784.0,21.0
2008-03-23,7,1900-01-01 20:15:00,1900-01-01 23:05:00,B6,142,N192JB,170.0,RSW,JFK,1074.0,87.0
2008-01-26,6,1900-01-01 11:10:00,1900-01-01 12:30:00,AA,813,N258AA,200.0,AUS,LAX,1242.0,16.0
2008-02-04,1,1900-01-01 07:40:00,1900-01-01 11:17:00,UA,702,N332UA,157.0,OAK,DEN,957.0,-1.0
2008-02-11,1,1900-01-01 06:00:00,1900-01-01 08:16:00,FL,580,N944AT,136.0,EWR,ATL,745.0,7.0
2008-03-25,2,1900-01-01 19:00:00,1900-01-01 21:55:00,WN,2031,N484WN,175.0,MDW,SAT,1036.0,-9.0
2008-02-24,7,1900-01-01 08:35:00,1900-01-01 10:25:00,NW,623,N360NB,170.0,IAD,MSP,908.0,-18.0
2008-01-17,4,1900-01-01 18:05:00,1900-01-01 19:40:00,OO,5872,N929SW,95.0,SGF,ORD,438.0,277.0
2008-02-13,3,1900-01-01 12:15:00,1900-01-01 13:43:00,UA,424,N342UA,88.0,IAD,BOS,413.0,40.0
2008-02-25,1,1900-01-01 17:50:00,1900-01-01 19:04:00,XE,2229,N21537,74.0,IAH,BRO,308.0,-7.0
2008-04-14,1,1900-01-01 13:10:00,1900-01-01 14:20:00,9E,2019,91619E,130.0,ATL,IAH,689.0,13.0
2008-03-21,5,1900-01-01 20:55:00,1900-01-01 22:15:00,WN,2526,N404WN,80.0,PDX,RNO,444.0,35.0
2008-03-04,2,1900-01-01 16:55:00,1900-01-01 18:25:00,OO,3866,N915EV,90.0,SLC,DEN,391.0,16.0
2008-01-23,3,1900-01-01 06:15:00,1900-01-01 07:05:00,MQ,4118,N610AE,50.0,MKE,ORD,67.0,17.0
2008-03-11,2,1900-01-01 14:10:00,1900-01-01 17:11:00,OO,5810,N719SK,121.0,ORD,ORF,717.0,18.0
2008-04-25,5,1900-01-01 08:00:00,1900-01-01 11:33:00,9E,4749,85159E,153.0,HLN,MSP,913.0,9.0
2008-04-10,4,1900-01-01 16:14:00,1900-01-01 17:23:00,OO,6063,N418SW,69.0,RAP,DEN,301.0,30.0
2008-04-09,3,1900-01-01 15:20:00,1900-01-01 18:35:00,AA,360,,135.0,ORD,LGA,733.0,
2008-01-04,5,1900-01-01 14:00:00,1900-01-01 20:01:00,UA,870,N214UA,241.0,SFO,ORD,1846.0,146.0
2008-02-28,4,1900-01-01 15:05:00,1900-01-01 16:45:00,9E,2878,84129E,160.0,DTW,SHV,886.0,18.0
2008-03-08,6,1900-01-01 16:35:00,1900-01-01 19:30:00,DL,681,N980DL,175.0,BOS,ATL,946.0,28.0
2008-03-01,6,1900-01-01 21:20:00,1900-01-01 23:58:00,UA,1244,N821UA,98.0,ORD,IAD,589.0,0.0
2008-04-20,7,1900-01-01 06:10:00,1900-01-01 07:05:00,B6,231,N606JB,115.0,SLC,LGB,589.0,15.0
