basket_ID,item,cash_price,make,model,goods_code,Nbr_of_prod_purchas
19877,STANDS BRACKETS,149,SAMSUNG,SAMSUNG SLIM FIT WALL MOUNT FOR Q-SERIES AU9000 AU,240048099,1
23604,TELEVISIONS HOME CINEMA,3079,SAMSUNG,SAMSUNG QE65QN800A 2021 NEO QLED HDR 2000 8K ULTRA,239831382,1
23212,TELEVISIONS HOME CINEMA,1185,LG,LG OLED55CX5LB 2020 OLED HDR 4K ULTRA HD SMART TV,238601186,1
2633,"TELEPHONES, FAX MACHINES & TWO-WAY RADIOS",774,APPLE,APPLE IPHONE 12,239091975,1
2633,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
53332,TELEVISIONS HOME CINEMA,2499,LG,LG OLED65G16LA 2021 OLED HDR 4K ULTRA HD SMART TV,239827064,1
18522,LIGHTING,650,DYSON,RETAILER,238653084,1
5617,COMPUTER PERIPHERALS & ACCESSORIES,749,APPLE,APPLE WATCH SERIES 6,239001450,1
5617,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
13493,"TELEPHONES, FAX MACHINES & TWO-WAY RADIOS",1548,APPLE,APPLE IPHONE 12,240041028,2
5922,LIVING & DINING FURNITURE,1799,SWOON,RETAILER,239081828,1
5922,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
25896,TELEVISIONS HOME CINEMA,1999,LG,LG OLED65C14LB 2021 OLED HDR 4K ULTRA HD SMART TV,239838687,1
25896,SERVICE,15,RETAILER,RETAILER,DMS15,1
25896,WARRANTY,140,RETAILER,RETAILER,233598811,1
53077,COMPUTERS,949,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246778,1
53077,AUDIO ACCESSORIES,190,APPLE,APPLE AIRPODS PRO WITH WIRELESS CHARGING CASE,238424605,1
75477,BATHROOM ACCESSORIES,11,ANYDAY RETAILER,ANYDAY RETAILER GIRAFFES TERRY COTTON B,238774065,1
75477,SOFT FURNISHINGS,18,ORLA KIELY,ORLA KIELY MULTI STEM PVC TABLECLOTH FABRIC MULTI,236807595,1
75477,TABLEWARE,22,RETAILER,RETAILER SHORT STEM RIMMED WINE GLASS 2,239773562,4
75477,BATHROOM ACCESSORIES,7,AQUALONA,AQUALONA PEBBLES IN-BATH MAT,238466181,1
75477,WINDOW DRESSING,110,UMBRA,UMBRA ANYWHERE EXTENDABLE CURTAIN ROD AND ROOM DIV,238944837,2
75477,LIVING DINING FURNITURE,1199,RETAILER,RETAILER CROMWELL CHESTERFIELD LARGE 3,234966615,1
38917,COMPUTER PERIPHERALS ACCESSORIES,379,APPLE,APPLE WATCH SERIES 6 GPS 40MM SPACE GREY ALUMINIUM,239001536,1
61985,COMPUTERS,489,SAMSUNG,SAMSUNG GALAXY TAB S7 FE TABLET WITH BLUETOOTH S P,240087883,1
32482,COMPUTERS,1379,APPLE,2020 APPLE MACBOOK PRO 13 TOUCH BAR M1 PROCESSOR 8,239246783,1
32482,WARRANTY,80,RETAILER,RETAILER,236604736,1
32482,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
38442,COMPUTERS,893,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246778,1
30943,COMPUTERS,949,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246778,1
12665,"TELEPHONES, FAX MACHINES & TWO-WAY RADIOS",674,APPLE,APPLE IPHONE 12 MINI,240041027,1
24770,BEDROOM FURNITURE,175,ANYDAY RETAILER,ANYDAY RETAILER WILTON CHILD COMPLIANT,236936639,1
24770,LIVING DINING FURNITURE,699,RETAILER,RETAILER REFLEX 6 SEATER DINING TABLE O,238512620,1
24770,LIVING DINING FURNITURE,398,RETAILER,RETAILER REFLEX FAUX LEATHER DINING CHA,238753160,2
24770,BED LINEN,20,RETAILER,RETAILER SPECIALIST SYNTHETIC WATERPROO,237747249,1
24770,BED LINEN,40,RETAILER,RETAILER CRISP AND FRESH 200 THREAD COU,231238674,2
24770,BED LINEN,30,LITTLE HOME AT RETAILER,LITTLE HOME AT RETAILER CHILDREN S SOFT TOUCH WA,238282607,1
24770,BEDROOM FURNITURE,120,ANYDAY RETAILER,ANYDAY RETAILER TURNABLE ADDED COMFORT,237534339,1
35318,TELEVISIONS HOME CINEMA,1099,LG,LG OLED48C14LB 2021 OLED HDR 4K ULTRA HD SMART TV,239827062,1
4338,COMPUTERS,1152,APPLE,2020 APPLE MACBOOK PRO,239246779,1
4338,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
19100,COMPUTER PERIPHERALS ACCESSORIES,409,APPLE,APPLE WATCH SERIES 6 GPS 44MM SPACE GREY ALUMINIUM,239001518,1
19100,WARRANTY,40,RETAILER,RETAILER,236604737,1
53066,TELEVISIONS HOME CINEMA,1389,SAMSUNG,SAMSUNG QE55QN95A 2021 NEO QLED HDR 2000 4K ULTRA,239831425,1
53066,SERVICE,125,RETAILER,RETAILER,DMS5461,1
42359,COMPUTERS,1549,APPLE,2020 APPLE MACBOOK PRO 13 TOUCH BAR INTEL CORE I5,238742046,1
63226,COMPUTERS,1379,APPLE,2020 APPLE MACBOOK PRO 13 TOUCH BAR M1 PROCESSOR 8,239246783,1
63226,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
69716,COMPUTERS,2399,APPLE,2021 APPLE MACBOOK PRO 14 M1 PRO PROCESSOR 16GB RA,240575992,1
69716,WARRANTY,80,RETAILER,RETAILER,236604736,1
69716,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
65361,TELEVISIONS HOME CINEMA,1699,LG,LG OLED65C14LB 2021 OLED HDR 4K ULTRA HD SMART TV,239838687,1
15515,LIVING & DINING FURNITURE,2049,,,237230121,1
15515,LIVING & DINING FURNITURE,375,,,237189671,1
15515,LIVING & DINING FURNITURE,1399,,,237229984,1
22715,OUTDOOR FURNITURE,999,KETTLER,KETTLER CORA 8 SEATER RECTANGULAR GARDEN DINING TA,236594916,1
22715,LIGHTING,50,RETAILER,RETAILER SWAG CEILING LIGHT,236906850,1
22715,LIGHTING,60,ANYDAY RETAILER,ANYDAY RETAILER SLATER WOOD TOUCH TABLE,231741868,2
22715,LIGHTING,40,RETAILER,RETAILER SMALL PAPER STRING EASY-TO-FIT,238928446,1
22715,SOFT FURNISHINGS,25,RETAILER,RETAILER RIO CUSHION GREEN MULTI,238234749,1
22715,SOFT FURNISHINGS,25,RETAILER,RETAILER SPLICED OMBRE CUSHION GREEN,238643192,1
57394,COMPUTERS,749,APPLE,2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI 128G,240040984,1
5624,COMPUTERS,937,APPLE,2020 APPLE MACBOOK AIR,239246778,1
5624,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
25033,COMPUTERS,893,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246778,1
46549,LIVING DINING FURNITURE,777,RETAILER,RETAILER TORONTO SIDE DINING CHAIRS SET,237688985,3
46549,BEDROOM FURNITURE,259,RETAILER,RETAILER TORONTO GAS LIFT ADJUSTABLE BA,238573040,1
46549,LIVING DINING FURNITURE,550,RETAILER,RETAILER CALIA TV STAND FOR TVS UP TO 6,231974862,1
31363,COMPUTERS,549,APPLE,2020 APPLE IPAD AIR 10 9 A14 BIONIC PROCESSOR IOS,239001428,1
68474,TELEVISIONS HOME CINEMA,1299,LG,LG OLED55C14LB 2021 OLED HDR 4K ULTRA HD SMART TV,239827061,1
35734,COMPUTERS,1999,APPLE,2020 APPLE MACBOOK PRO 13 TOUCH BAR INTEL CORE I5,238742053,1
35734,CABLES ADAPTERS,17,APPLE,APPLE MJ1M2ZM A USB-C TO USB ADAPTOR,234418518,1
35734,CABLES ADAPTERS,19,APPLE,APPLE MLL82ZM A USB-C CHARGE CABLE 2M,236670968,1
35734,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
19475,BARBECUES ACCESSORIES,729,WEBER,WEBER SPIRIT E-315 GBS 3-BURNER GAS BBQ,239737307,1
19475,SERVICE,40,RETAILER,RETAILER,DMS20,1
19475,FULFILMENT CHARGE,13,RETAILER,RETAILER,FULFILMENT,1
54,COMPUTERS,529,APPLE,"2020 APPLE IPAD AIR 10.9""",239001440,1
54,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
20552,COMPUTERS,409,APPLE,2020 APPLE IPAD 10 2 A12 IPADOS WI-FI 128GB SPACE,239001399,1
20552,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
50096,COMPUTER PERIPHERALS ACCESSORIES,379,APPLE,APPLE WATCH SERIES 6 GPS 40MM GOLD ALUMINIUM CASE,239001474,1
8342,"TELEPHONES, FAX MACHINES & TWO-WAY RADIOS",549,APPLE,APPLE IPHONE SE,238708394,1
8342,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
73230,COMPUTERS,889,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246776,1
20645,COMPUTER PERIPHERALS ACCESSORIES,409,APPLE,APPLE WATCH SERIES 6 GPS 44MM SPACE GREY ALUMINIUM,239001518,1
65962,TELEVISIONS HOME CINEMA,1299,SONY,SONY BRAVIA XR XR65X90J 2021 LED HDR 4K ULTRA HD S,239903728,1
46446,COMPUTERS,552,APPLE,2020 APPLE IPAD AIR 10 9 A14 BIONIC PROCESSOR IOS,239001404,1
49636,COMPUTERS,749,APPLE,2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI 128G,240040984,1
74225,TELEVISIONS HOME CINEMA,1199,SONY,SONY BRAVIA XR XR65X90J 2021 LED HDR 4K ULTRA HD S,239903728,1
74225,FULFILMENT CHARGE,20,RETAILER,RETAILER,FULFILMENT,1
33507,COMPUTER PERIPHERALS ACCESSORIES,119,APPLE,APPLE PENCIL 2ND GENERATION 2018 MATTE WHITE,237841896,1
33507,COMPUTERS,2149,APPLE,2021 APPLE IPAD PRO 12 9 M1 PROCESSOR IOS WI-FI CE,240041017,1
33507,WARRANTY,80,RETAILER,RETAILER,236604753,1
32322,COMPUTERS,1099,APPLE,2021 APPLE IPAD PRO 12 9 M1 PROCESSOR IOS WI-FI 25,240040978,1
32322,COMPUTERS,949,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246776,1
15156,COMPUTERS,556,APPLE,"2020 APPLE IPAD AIR 10.9""",239001415,1
15156,COMPUTER PERIPHERALS & ACCESSORIES,119,APPLE,"APPLE PENCIL, 2ND GENERATION (2018)",237841896,1
15156,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
40065,COMPUTER PERIPHERALS ACCESSORIES,379,APPLE,APPLE WATCH SERIES 6 GPS 40MM BLUE ALUMINIUM CASE,239001540,1
40065,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
59924,BEDROOM FURNITURE,1599,RETAILER,RETAILER NATURAL COLLECTION SWALEDALE W,238204352,1
59924,BED LINEN,170,TEMPUR,TEMPUR COMFORT CLOUD STANDARD SUPPORT PILLOW,231431353,2
59924,BED LINEN,90,RETAILER,RETAILER SYNTHETIC SOFT TOUCH WASHABLE,231958642,2
59924,BED LINEN,100,RETAILER,RETAILER EASY CARE ORGANIC COTTON KING,238303428,2
59924,BED LINEN,20,RETAILER,RETAILER EASY CARE ORGANIC COTTON OXFOR,238303413,2
59924,CARPETS RUGS FLOORING,400,RETAILER,RETAILER GUERNSEY RUG L240 X W170 CM,237718861,1
59924,STORAGE ORGANISATION,99,RETAILER,RETAILER PORTSMAN BATHROOM STORAGE CADD,238929825,1
59924,BATHROOM ACCESSORIES,16,ANYDAY RETAILER,ANYDAY RETAILER BLOCK STRIPE TOOTHBRUSH,238290464,2
59924,BATHROOM ACCESSORIES,5,ANYDAY RETAILER,ANYDAY RETAILER BLOCK STRIPE SOAP DISH,238290153,1
59924,BATHROOM ACCESSORIES,25,RETAILER,RETAILER STRIPE BATH MAT GREY,239800786,1
59924,BATHROOM ACCESSORIES,20,RETAILER,RETAILER STRIPE PEDESTAL MAT GREY,239800789,1
59924,BATH LINEN,12,RETAILER,RETAILER STRIPE FACE CLOTH SET OF 2 GRE,238323028,2
59924,BATH LINEN,24,RETAILER,RETAILER STRIPE HAND TOWEL GREY,238323452,2
59924,BATH LINEN,20,RETAILER,RETAILER STRIPE BATH TOWEL GREY,238323462.0,1
59924,BATH LINEN,25,RETAILER,RETAILER STRIPE BATH SHEET GREY,238323501.0,1
59924,BATH LINEN,20,RETAILER,RETAILER STRIPE BATH TOWEL BRIGHT BLUE,238419816.0,1
59924,TABLEWARE,52,ANYDAY RETAILER,ANYDAY RETAILER DINE COUPE DINNERWARE S,236856313,1
59924,COOKWARE,230,LE CREUSET,LE CREUSET SIGNATURE 3-PLY SHALLOW 30CM CASSEROLE,234397259.0,1
59924,COOKWARE,190,LE CREUSET,LE CREUSET SIGNATURE 3-PLY STAINLESS STEEL NON-STI,234397260.0,1
59924,KITCHEN UTENSILS GADGETS,35,RETAILER,RETAILER PROFESSIONAL STAINLESS STEEL P,238602122.0,1
59924,LIVING DINING FURNITURE,419,WEST ELM,WEST ELM PILLAR GLASS COFFEE TABLE CLEAR BRONZE,238251468,1
59924,LIVING DINING FURNITURE,2090,SWYFT,SWYFT MODEL 01 MEDIUM 2 SEATER SOFA LIGHT GREY VEL,240242344.0,2
41649,BEDROOM FURNITURE,700,RETAILER,RETAILER ST IVES BEDSIDE TABLE WHITE HA,238851456,4
41649,BEDROOM FURNITURE,898,RETAILER,RETAILER ROUEN CHILD COMPLIANT UPHOLSTE,238552349,2
34926,COMPUTERS,1187,APPLE,2020 APPLE MACBOOK PRO 13 TOUCH BAR M1 PROCESSOR 8,239246779,1
34926,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
75938,COMPUTERS,1080,APPLE,2021 APPLE IPAD PRO 12 9 M1 PROCESSOR IOS WI-FI 25,240040978,1
75938,BAGS CARRY CASES,50,TARGUS,TARGUS VERSAVU CASE WITH 360 ROTATION FOR IPAD 10,238422732,1
75938,COMPUTER PERIPHERALS ACCESSORIES,119,APPLE,APPLE PENCIL 2ND GENERATION 2018 MATTE WHITE,237841896,1
6284,"TELEPHONES, FAX MACHINES & TWO-WAY RADIOS",774,APPLE,APPLE IPHONE 12,239091975,1
6284,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
64083,TELEVISIONS HOME CINEMA,1388,SAMSUNG,SAMSUNG QE55QN95A 2021 NEO QLED HDR 2000 4K ULTRA,239831425,1
53038,COMPUTER PERIPHERALS ACCESSORIES,369,APPLE,APPLE WATCH SERIES 7 GPS 41MM STARLIGHT ALUMINIUM,240376608,1
71492,COMPUTERS,1899,APPLE,2021 APPLE MACBOOK PRO 14 M1 PRO PROCESSOR 16GB RA,240575990,1
52024,COMPUTER PERIPHERALS ACCESSORIES,84,APPLE,APPLE PENCIL 1ST GENERATION 2015 WHITE,234942306,1
52024,COMPUTERS,556,APPLE,2020 APPLE IPAD AIR 10 9 A14 BIONIC PROCESSOR IOS,239001415,1
52024,COMPUTER PERIPHERALS ACCESSORIES,119,APPLE,APPLE PENCIL 2ND GENERATION 2018 MATTE WHITE,237841896,1
5358,COMPUTERS,937,APPLE,2020 APPLE MACBOOK AIR,239246778,1
5358,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
5036,"TELEPHONES, FAX MACHINES & TWO-WAY RADIOS",1199,APPLE,APPLE IPHONE 12 PRO MAX,239091977,1
5036,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
69945,COMPUTERS,2399,APPLE,2021 APPLE MACBOOK PRO 16 M1 PRO PROCESSOR 16GB RA,240575999,1
69945,WARRANTY,80,RETAILER,RETAILER,236604736,1
69945,CABLES ADAPTERS,17,APPLE,APPLE MJ1M2ZM A USB-C TO USB ADAPTOR,234418518,1
19971,COMPUTERS,929,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246776,1
19971,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
43207,COMPUTERS,749,APPLE,2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI 128G,240040984,1
20221,OUTDOOR FURNITURE,250,RETAILER,RETAILER VALENCIA GARDEN CORNER MODULAR,237775244,1
20221,OUTDOOR FURNITURE,250,RETAILER,RETAILER VALENCIA GARDEN LEFT END MODUL,237775721,1
20221,OUTDOOR FURNITURE,500,RETAILER,RETAILER VALENCIA GARDEN MODULAR MIDDLE,237775760,2
20221,OUTDOOR ACCESSORIES,69,RETAILER,RETAILER 2 7M PARASOL DARK GREY,237288143,1
34116,COMPUTERS,949,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246776,1
1650,TELEVISIONS & HOME CINEMA,3199,LG,OLED77CX,238601321,1
1650,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
23463,COMPUTERS,1649,APPLE,2021 APPLE IMAC 24 ALL-IN-ONE M1 PROCESSOR 8GB RAM,240040960,1
38785,COMPUTER PERIPHERALS ACCESSORIES,409,APPLE,APPLE WATCH SERIES 6 GPS 44MM BLUE ALUMINIUM CASE,239001495,1
16428,LIVING & DINING FURNITURE,1498,RETAILER,RETAILER,238000174,2
28512,COMPUTERS,899,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246782,1
3145,"TELEPHONES, FAX MACHINES & TWO-WAY RADIOS",1099,APPLE,APPLE IPHONE 12 PRO,239091953,1
3145,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
69822,COMPUTERS,1899,APPLE,2021 APPLE MACBOOK PRO 14 M1 PRO PROCESSOR 16GB RA,240575990,1
69822,WARRANTY,80,RETAILER,RETAILER,236604736,1
64500,CABLES ADAPTERS,6,RETAILER,RETAILER 4K HDMI CABLE 1 5M BLACK,238735587,1
64500,TELEVISIONS HOME CINEMA,1199,LG,LG OLED55C14LB 2021 OLED HDR 4K ULTRA HD SMART TV,239827061,1
64500,WARRANTY,140,RETAILER,RETAILER,233598811,1
53261,COMPUTERS,949,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246776,1
41008,TELEVISIONS HOME CINEMA,2999,LG,LG OLED65G16LA 2021 OLED HDR 4K ULTRA HD SMART TV,239827064,1
41008,SERVICE,0,RETAILER,RETAILER,DMS6461,1
41008,FULFILMENT CHARGE,13,RETAILER,RETAILER,FULFILMENT,1
59722,TELEVISIONS HOME CINEMA,1199,LG,LG OLED55C14LB 2021 OLED HDR 4K ULTRA HD SMART TV,239827061,1
42586,COMPUTER PERIPHERALS ACCESSORIES,379,APPLE,APPLE WATCH SERIES 6 GPS 40MM SILVER ALUMINIUM CAS,239001532,1
42586,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
53905,COMPUTERS,1999,APPLE,2020 APPLE MACBOOK PRO 13 TOUCH BAR INTEL CORE I5,238742053,1
53905,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
40296,COMPUTERS,849,APPLE,2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI 256G,240041020,1
40296,COMPUTER PERIPHERALS ACCESSORIES,279,APPLE,APPLE MAGIC KEYBOARD FOR 11 IPAD PRO 2020 BLACK,238701671,1
29057,COMPUTERS,899,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246782,1
71851,COMPUTERS,889,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246776,1
57720,LIVING DINING FURNITURE,1249,HALO,HALO LITTLE PROFESSOR PETITE 2 SEATER ANILINE LEAT,235622681,1
64149,TELEVISIONS HOME CINEMA,1599,SAMSUNG,SAMSUNG QE75Q70A 2021 QLED HDR 4K ULTRA HD SMART T,239842093,1
62262,COMPUTERS,2398,APPLE,2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI CELL,240040976,2
62262,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
51668,TELEVISIONS HOME CINEMA,1029,SAMSUNG,SAMSUNG QE50QN94A 2021 NEO QLED HDR 2000 4K ULTRA,239948157,1
51668,SERVICE,125,RETAILER,RETAILER,DMS5461,1
51668,TELEVISIONS HOME CINEMA,449,SONOS,SONOS BEAM GEN 2 COMPACT SMART SOUND BAR WITH DOLB,240277318,1
51668,FULFILMENT CHARGE,13,RETAILER,RETAILER,FULFILMENT,1
30278,COMPUTERS,1149,APPLE,2020 APPLE MACBOOK PRO 13 TOUCH BAR M1 PROCESSOR 8,239246779,1
30278,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
12500,COMPUTERS,1187,APPLE,2020 APPLE MACBOOK PRO,239246780,1
12500,WARRANTY,80,RETAILER,RETAILER,236604736,1
26816,COMPUTERS,699,APPLE,2020 APPLE MAC MINI DESKTOP COMPUTER M1 PROCESSOR,239246773,1
26816,COMPUTER PERIPHERALS ACCESSORIES,65,APPLE,APPLE MAGIC MOUSE 2 2015 WHITE,236665679,1
26816,COMPUTER PERIPHERALS ACCESSORIES,120,APPLE,APPLE MAGIC KEYBOARD WITH NUMERIC KEYPAD  E,236998880,1
18373,LIVING & DINING FURNITURE,1049,RETAILER,RETAILER,237761611,1
18373,LIVING & DINING FURNITURE,749,RETAILER,RETAILER,237610185,1
18373,LIVING & DINING FURNITURE,949,RETAILER,RETAILER,237762758,1
69981,COMPUTERS,889,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246776,1
69981,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
47189,BAGS CARRY CASES,70,MODE,MODE LEATHER PARIS SLEEVE CASE FOR MACBOOK AIR MAC,239780076,1
47189,COMPUTERS,898,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246776,1
20203,OUTDOOR FURNITURE,1599,KETTLER,KETTLER PALMA 5-SEAT GARDEN LOW LOUNGING TABLE CHA,239482904,1
15887,LIVING & DINING FURNITURE,716,SOFI,RETAILER,238427793,1
44230,COMPUTER PERIPHERALS ACCESSORIES,379,APPLE,APPLE WATCH SERIES 6 GPS 40MM SILVER ALUMINIUM CAS,239001532,1
27107,TELEVISIONS HOME CINEMA,1499,SONY,SONY BRAVIA XR XR55A80J 2021 OLED HDR 4K ULTRA HD,239900853,1
27107,FULFILMENT CHARGE,20,RETAILER,RETAILER,FULFILMENT,1
37144,COMPUTERS,1187,APPLE,2020 APPLE MACBOOK PRO 13 TOUCH BAR M1 PROCESSOR 8,239246779,1
105,"TELEPHONES, FAX MACHINES & TWO-WAY RADIOS",724,APPLE,APPLE IPHONE 12,239091974,1
105,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
40945,COMPUTERS,898,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246776,1
53487,COMPUTERS,949,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246782,1
10580,"TELEPHONES, FAX MACHINES & TWO-WAY RADIOS",499,APPLE,APPLE IPHONE XR,237758885,1
10580,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
32026,COMPUTERS,1117,APPLE,2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC,239246777,1
7399,"TELEPHONES, FAX MACHINES & TWO-WAY RADIOS",724,APPLE,APPLE IPHONE 12,239091966,1
7399,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
7030,COMPUTERS,937,APPLE,2020 APPLE MACBOOK AIR,239246778,1
7030,WARRANTY,70,RETAILER,RETAILER,236604744,1
7030,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
7169,"TELEPHONES, FAX MACHINES & TWO-WAY RADIOS",1099,APPLE,APPLE IPHONE 12 PRO MAX,239091949,1
7169,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
16079,TELEVISIONS & HOME CINEMA,1667,LG,OLED65CX,238601317,1
16079,SERVICE,15,RETAILER,RETAILER,DMS15,1
16079,SERVICE,125,RETAILER,RETAILER,DMS5461,1
16079,WARRANTY,140,RETAILER,RETAILER,233598811,1
16079,STANDS & BRACKETS,200,AVF,JXNL655,238247258,1
23720,COMPUTERS,779,APPLE,"2020 APPLE IPAD PRO 11""",238667162,1
23720,WARRANTY,70,RETAILER,RETAILER,236604752,1
23720,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
3972,"TELEPHONES, FAX MACHINES & TWO-WAY RADIOS",624,APPLE,APPLE IPHONE 12 MINI,239091981,1
3972,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
74244,HOME OFFICE,1499,HERMAN MILLER,HERMAN MILLER AERON OFFICE CHAIR SIZE B MINERAL PO,236844278,1
45124,TELEVISIONS HOME CINEMA,1199,LG,LG OLED48C14LB 2021 OLED HDR 4K ULTRA HD SMART TV,239827062,1
46113,TELEVISIONS HOME CINEMA,1099,LG,LG OLED55CX5LB 2020 OLED HDR 4K ULTRA HD SMART TV,238601186,1
67928,COMPUTERS,2599,APPLE,2021 APPLE MACBOOK PRO 16 M1 PRO PROCESSOR 16GB RA,240575993,1
67928,FULFILMENT CHARGE,7,RETAILER,RETAILER,FULFILMENT,1
11661,COMPUTER PERIPHERALS & ACCESSORIES,379,APPLE,APPLE WATCH SERIES 6,239001518,1
11661,WARRANTY,40,RETAILER,RETAILER,236604737,1
11661,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
