RespondentID,What_would_you_call_the_part_of_the_country_you_live_in_now,How_much_do_you_personally_identify_as_a_Midwesterner,Do_you_consider_Illinois_state_as_part_of_the_Midwest,Do_you_consider_Indiana_state_as_part_of_the_Midwest,Do_you_consider_Iowa_state_as_part_of_the_Midwest,Do_you_consider_Kansas_state_as_part_of_the_Midwest,Do_you_consider_Michigan_state_as_part_of_the_Midwest,Do_you_consider_Minnesota_state_as_part_of_the_Midwest,Do_you_consider_Missouri_state_as_part_of_the_Midwest,Do_you_consider_Nebraska_state_as_part_of_the_Midwest,Do_you_consider_North_Dakota_state_as_part_of_the_Midwest,Do_you_consider_Ohio_state_as_part_of_the_Midwest,Do_you_consider_South_Dakota_state_as_part_of_the_Midwest,Do_you_consider_Wisconsin_state_as_part_of_the_Midwest,Do_you_consider_Arkansas_state_as_part_of_the_Midwest,Do_you_consider_Colorado_state_as_part_of_the_Midwest,Do_you_consider_Kentucky_state_as_part_of_the_Midwest,Do_you_consider_Oklahoma_state_as_part_of_the_Midwest,Do_you_consider_Pennsylvania_state_as_part_of_the_Midwest,Do_you_consider_West_Virginia_state_as_part_of_the_Midwest,Do_you_consider_Montana_state_as_part_of_the_Midwest,Do_you_consider_Wyoming_state_as_part_of_the_Midwest,Gender,Age,Household_Income,Education,In_what_ZIP_code_is_your_home_located,census_region
3123616187.0,"SouthEast beautiful, mountainous",Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,37642,East South Central
3123877868.0,Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Male,18-29,"$50,000 - $99,999",Associate or bachelor degree,97302,Pacific
3123274327.0,Pacific Southwest,Not much,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,92108,Pacific
3122003769.0,Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$100,000 - $149,999",Some college,53070,East North Central
3122359351.0,pacific west,Not at all,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Female,> 60,"$25,000 - $49,999",Some college,91722,Pacific
3124913137.0,usa,Not at all,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Male,18-29,"$150,000+",High school degree,68801,West North Central
3122728236.0,West coast,Not at all,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Male,18-29,"$50,000 - $99,999",Less than high school degree,93436,Pacific
3122151257.0,Texas,Not at all,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Male,45-60,"$25,000 - $49,999",Some college,79701,West South Central
3123864510.0,Upstate New York,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$50,000 - $99,999",Graduate degree,14612,Middle Atlantic
3122458097.0,Bluegrass region of Kentucky,A lot,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$25,000 - $49,999",Graduate degree,40324,East South Central
3122565409.0,Pacific Northwest,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Male,45-60,"$100,000 - $149,999",Some college,98501,Pacific
3122638508.0,"The Northeast or central New Jersey, sometimes South Central NJ, depending upon the 'scope' of the issue",Not at all,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Female,> 60,?,?,8520,Middle Atlantic
3123909019.0,Mid-East,Some,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$50,000 - $99,999",Some college,43230,East North Central
3124961277.0,Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$25,000 - $49,999",Associate or bachelor degree,98272,Pacific
3122073432.0,WAY North ;),Some,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,18-29,"$150,000+",High school degree,53081,East North Central
3122768153.0,metropolitan area or city,A lot,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$50,000 - $99,999",Some college,60453,East North Central
3122884823.0,te northwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Male,> 60,"$150,000+",Associate or bachelor degree,98027,Pacific
3123663800.0,McCandless Township,Not at all,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Female,> 60,"$25,000 - $49,999",Associate or bachelor degree,15237-4539,Middle Atlantic
3122740585.0,Chicagoland,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$150,000+",Graduate degree,60126,East North Central
3121124171.0,Midwest,Some,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,48170,East North Central
3121456044.0,Northeast,Not at all,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,2343,New England
3123180276.0,South,Not at all,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Female,18-29,"$0 - $24,999",Associate or bachelor degree,72404,West South Central
3123724988.0,Midwest.,A lot,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,55427,West North Central
3122107483.0,New England,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,?,?,o2465,New England
3123175186.0,Midwest,A lot,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Female,45-60,"$150,000+",Associate or bachelor degree,45069,East North Central
3123155698.0,South,Not at all,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Female,45-60,"$25,000 - $49,999",Graduate degree,39202,East South Central
3122226618.0,Midwest,Some,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$25,000 - $49,999",Graduate degree,48823,East North Central
3125508593.0,The midwest.,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$150,000+",Associate or bachelor degree,60540,East North Central
3120789930.0,Southeast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Female,18-29,"$0 - $24,999",Associate or bachelor degree,31088,East South Central
3122450174.0,Very rural red neck backwoods america.,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Female,> 60,"$0 - $24,999",Some college,66935,West North Central
3122103336.0,Pacific Coast,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,95472,Pacific
3122712918.0,Northeast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Male,45-60,?,?,12533,Middle Atlantic
3124582171.0,Liberal midwest,Not much,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$0 - $24,999",Some college,55455,West North Central
3122710372.0,"Dallas, TX USA",Not at all,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,> 60,"$0 - $24,999",Associate or bachelor degree,75238,West South Central
3122696920.0,Southeast,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$50,000 - $99,999",Graduate degree,23518,South Atlantic
3123004120.0,Colorado,Not much,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,81007,Mountain
3122906057.0,Texas,Not at all,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Male,18-29,"$150,000+",Associate or bachelor degree,77345,West South Central
3123127006.0,Rural Wisconsin,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Female,> 60,"$100,000 - $149,999",Associate or bachelor degree,53937,East North Central
3121974728.0,Widwest,Some,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,44035,East North Central
3123080043.0,Scenic,Not at all,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Some college,80524,Mountain
3122944307.0,MIDWEST,A lot,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$50,000 - $99,999",Some college,60193,East North Central
3122908913.0,Southern Indiana,Some,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Female,45-60,"$50,000 - $99,999",High school degree,47150,East North Central
3123138199.0,North eastern United States,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Male,45-60,"$0 - $24,999",Some college,12401,Middle Atlantic
3122874197.0,"Beautiful, mountainous, friendly, rural, woodsy.",A lot,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Female,18-29,"$50,000 - $99,999",High school degree,82435,Mountain
3126068469.0,southwestern pennsylvania,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Male,18-29,"$150,000+",Some college,15061,Middle Atlantic
3122659931.0,midwest,Some,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$25,000 - $49,999",High school degree,52405,West North Central
3124212806.0,Midwest,Not much,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Graduate degree,46268,East North Central
3122169270.0,Southern California,Not at all,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$150,000+",Associate or bachelor degree,92131,Pacific
3122638526.0,The Southeast,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Female,45-60,"$25,000 - $49,999",Graduate degree,28791,South Atlantic
3121736861.0,The North West,Not at all,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Male,45-60,"$25,000 - $49,999",High school degree,98632,Pacific
3126280370.0,midwest,Some,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Male,30-44,"$25,000 - $49,999",Some college,68106,West North Central
3122254212.0,MID WEST,Some,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$0 - $24,999",Graduate degree,53202,East North Central
3122116872.0,northeast,Not at all,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Some college,15650,Middle Atlantic
3124180629.0,Midwest,A lot,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$50,000 - $99,999",Associate or bachelor degree,60067,East North Central
3123699154.0,rural eastern ky,A lot,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Male,30-44,"$0 - $24,999",Associate or bachelor degree,41339,East South Central
3121989143.0,Sunny California,Not at all,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Female,45-60,"$150,000+",Some college,91350,Pacific
3122552692.0,West Virginia,Not at all,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Male,18-29,"$25,000 - $49,999",High school degree,25541,South Atlantic
3124660534.0,The Midwest,A lot,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Female,30-44,"$150,000+",Associate or bachelor degree,63114,West North Central
3122456818.0,Western PA,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$150,000+",Associate or bachelor degree,15206,Middle Atlantic
3122507734.0,Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Male,45-60,"$150,000+",Graduate degree,44236,East North Central
3122332954.0,"I'm move from Southeastern Kentucky to an area with decent roads,NO Coal Companies and where people can find decent paying jobs",Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Male,45-60,"$0 - $24,999",Some college,41722,East South Central
3122872783.0,Midwest,A lot,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,64117,West North Central
3122661460.0,midwest,A lot,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$0 - $24,999",Graduate degree,47401,East North Central
3123915347.0,northeast,Not much,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Male,45-60,"$150,000+",?,6016,New England
3122925592.0,Midwest,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,?,Graduate degree,47803,East North Central
3122726604.0,Midwest,Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$150,000+",Graduate degree,44120,East North Central
3122706700.0,We live out in the country. No surrounding homes on 5 aches,A lot,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,42134,East South Central
3121989874.0,Southeasters United States or the Deep South,Not at all,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Female,> 60,"$25,000 - $49,999",Associate or bachelor degree,30044,South Atlantic
3120775366.0,Mid-East,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Female,18-29,"$0 - $24,999",Associate or bachelor degree,24013,South Atlantic
3122593460.0,Pacific Northwestner,Some,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$150,000+",Associate or bachelor degree,98033,Pacific
3122910449.0,east coast,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Female,> 60,"$25,000 - $49,999",Some college,18964,Middle Atlantic
3122009989.0,Beautiful,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Male,30-44,"$0 - $24,999",Associate or bachelor degree,90505,Pacific
3122773343.0,Mid South,Some,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Male,18-29,"$25,000 - $49,999",Graduate degree,72903,West South Central
3121419037.0,Midwest,Not much,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Female,18-29,"$25,000 - $49,999",Some college,56265,West North Central
3123150178.0,Southeast,Not at all,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Male,18-29,"$100,000 - $149,999",Associate or bachelor degree,32137,South Atlantic
3125198786.0,Rocky Mountains,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Male,18-29,"$150,000+",Graduate degree,80301,Mountain
3122537168.0,Midwest,Some,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Female,45-60,"$100,000 - $149,999",High school degree,45385,East North Central
3121761769.0,Midwest,Not at all,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$100,000 - $149,999",Graduate degree,49307,South Atlantic
3122388921.0,midwest,Not much,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Female,> 60,"$150,000+",Associate or bachelor degree,45069,East North Central
3123770755.0,the Mountain west,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$25,000 - $49,999",Associate or bachelor degree,80903,Mountain
3120775151.0,Flyover country,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Female,30-44,"$0 - $24,999",Some college,55105,West North Central
3125641158.0,Northeast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$50,000 - $99,999",Graduate degree,19006,Middle Atlantic
3124067008.0,The West,Not at all,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Male,18-29,"$0 - $24,999",Some college,84095,Mountain
3122748121.0,Very cold,Not much,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Female,45-60,"$150,000+",High school degree,48327,East North Central
3120656439.0,new england,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$50,000 - $99,999",Graduate degree,5060,New England
3122904258.0,Midwesterner,A lot,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$100,000 - $149,999",Graduate degree,55398,West North Central
3122659216.0,Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,52403,West North Central
3124595311.0,"Mid-Atlantic, inland",Not at all,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Female,> 60,"$50,000 - $99,999",Graduate degree,17325,Middle Atlantic
3122917625.0,midwest,A lot,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,> 60,"$100,000 - $149,999",Associate or bachelor degree,44053,East North Central
3120992419.0,South East,Not at all,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Some college,32835,South Atlantic
3122986530.0,Northeast,Not at all,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Male,45-60,"$150,000+",Graduate degree,5059,New England
3123098747.0,"A verdant little bit of suburbia in the best possible way. A safe haven for former hippies and families with dogs, there are as many trees as there are people in this East Coast town.",Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Female,18-29,"$150,000+",High school degree,20912,Middle Atlantic
3122080743.0,Northern America,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Female,18-29,"$150,000+",Some college,6269,New England
3121665564.0,Suburban,Not at all,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,30-44,"$100,000 - $149,999",Graduate degree,92128,Pacific
3122320440.0,The West,Not much,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,80237,Mountain
3122724683.0,middle midwest,A lot,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Male,45-60,"$0 - $24,999",Associate or bachelor degree,66048,West North Central
3123107209.0,The southwest,Not much,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Female,> 60,"$25,000 - $49,999",Associate or bachelor degree,85208,Mountain
3126196913.0,Minne-snow-ta,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$50,000 - $99,999",Some college,55105,West North Central
3120804763.0,Northeast,Not at all,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Female,45-60,"$100,000 - $149,999",Graduate degree,25301,South Atlantic
3122807533.0,Midwest,A lot,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,45334,East North Central
3123130344.0,Barren and very boring for someone in their early twenties,Some,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Female,18-29,"$150,000+",High school degree,82716,Mountain
3123843748.0,The midwest.  The rust belt.,Some,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Male,45-60,"$100,000 - $149,999",Some college,44133,East North Central
3123837115.0,The Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,60647,East North Central
3123933631.0,"The mid west, rust belt",A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Some college,49508,East North Central
3123836848.0,Northeast Ohio,Not at all,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Female,18-29,"$50,000 - $99,999",Graduate degree,44280,East North Central
3122518662.0,midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$50,000 - $99,999",Some college,49783,East North Central
3122471190.0,Midwest,Some,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Female,> 60,"$50,000 - $99,999",Some college,73139,West South Central
